CODEPAGE 10003          ; Korean - MAC
0xd6	0xbfdf;»Ö Hangul Ssangpieup U Sios
0xd7	0xbfe1;»× Hangul Ssangpieup U Ieung
0xd8	0xc03c;»Ø Hangul Ssangpieup Yu
0xd9	0xc051;»Ù Hangul Ssangpieup Yu Ieung
0xda	0xc058;»Ú Hangul Ssangpieup Eu
0xdb	0xc05c;»Û Hangul Ssangpieup Eu Nieun
0xdc	0xc060;»Ü Hangul Ssangpieup Eu Rieul
0xdd	0xc068;»Ý Hangul Ssangpieup Eu Mieum
0xde	0xc069;»Þ Hangul Ssangpieup Eu Pieup
0xdf	0xc090;»ß Hangul Ssangpieup I
0xe0	0xc091;»à Hangul Ssangpieup I Kiyeok
0xe1	0xc094;»á Hangul Ssangpieup I Nieun
0xe2	0xc098;»â Hangul Ssangpieup I Rieul
0xe3	0xc0a0;»ã Hangul Ssangpieup I Mieum
0xe4	0xc0a1;»ä Hangul Ssangpieup I Pieup
0xe5	0xc0a3;»å Hangul Ssangpieup I Ssangsios
0xe6	0xc0a5;»æ Hangul Ssangpieup I Ieung
0xe7	0xc0ac;»ç Hangul Sios A
0xe8	0xc0ad;»è Hangul Sios A Kiyeok
0xe9	0xc0af;»é Hangul Sios A Kiyeok-Sios
0xea	0xc0b0;»ê Hangul Sios A Nieun
0xeb	0xc0b3;»ë Hangul Sios A Tikeut
0xec	0xc0b4;»ì Hangul Sios A Rieul
0xed	0xc0b5;»í Hangul Sios A Rieul-Kiyeok
0xee	0xc0b6;»î Hangul Sios A Rieul-Mieum
0xef	0xc0bc;»ï Hangul Sios A Mieum
0xf0	0xc0bd;»ð Hangul Sios A Pieup
0xf1	0xc0bf;»ñ Hangul Sios A Sios
0xf2	0xc0c0;»ò Hangul Sios A Ssangsios
0xf3	0xc0c1;»ó Hangul Sios A Ieung
0xf4	0xc0c5;»ô Hangul Sios A Thieuth
0xf5	0xc0c8;»õ Hangul Sios Ae
0xf6	0xc0c9;»ö Hangul Sios Ae Kiyeok
0xf7	0xc0cc;»÷ Hangul Sios Ae Nieun
0xf8	0xc0d0;»ø Hangul Sios Ae Rieul
0xf9	0xc0d8;»ù Hangul Sios Ae Mieum
0xfa	0xc0d9;»ú Hangul Sios Ae Pieup
0xfb	0xc0db;»û Hangul Sios Ae Sios
0xfc	0xc0dc;»ü Hangul Sios Ae Ssangsios
0xfd	0xc0dd;»ý Hangul Sios Ae Ieung
0xfe	0xc0e4;»þ Hangul Sios Ya

DBCSTABLE 94            ;LeadByte = 0xbc

0xa1	0xc0e5;¼¡ Hangul Sios Ya Kiyeok
0xa2	0xc0e8;¼¢ Hangul Sios Ya Nieun
0xa3	0xc0ec;¼£ Hangul Sios Ya Rieul
0xa4	0xc0f4;¼¤ Hangul Sios Ya Mieum
0xa5	0xc0f5;¼¥ Hangul Sios Ya Pieup
0xa6	0xc0f7;¼¦ Hangul Sios Ya Sios
0xa7	0xc0f9;¼§ Hangul Sios Ya Ieung
0xa8	0xc100;¼¨ Hangul Sios Yae
0xa9	0xc104;¼© Hangul Sios Yae Nieun
0xaa	0xc108;¼ª Hangul Sios Yae Rieul
0xab	0xc110;¼« Hangul Sios Yae Mieum
0xac	0xc115;¼¬ Hangul Sios Yae Ieung
0xad	0xc11c;¼­ Hangul Sios Eo
0xae	0xc11d;¼® Hangul Sios Eo Kiyeok
0xaf	0xc11e;¼¯ Hangul Sios Eo Ssangkiyeok
0xb0	0xc11f;¼° Hangul Sios Eo Kiyeok-Sios
0xb1	0xc120;¼± Hangul Sios Eo Nieun
0xb2	0xc123;¼² Hangul Sios Eo Tikeut
0xb3	0xc124;¼³ Hangul Sios Eo Rieul
0xb4	0xc126;¼´ Hangul Sios Eo Rieul-Mieum
0xb5	0xc127;¼µ Hangul Sios Eo Rieul-Pieup
0xb6	0xc12c;¼¶ Hangul Sios Eo Mieum
0xb7	0xc12d;¼· Hangul Sios Eo Pieup
0xb8	0xc12f;¼¸ Hangul Sios Eo Sios
0xb9	0xc130;¼¹ Hangul Sios Eo Ssangsios
0xba	0xc131;¼º Hangul Sios Eo Ieung
0xbb	0xc136;¼» Hangul Sios Eo Phieuph
0xbc	0xc138;¼¼ Hangul Sios E
0xbd	0xc139;¼½ Hangul Sios E Kiyeok
0xbe	0xc13c;¼¾ Hangul Sios E Nieun
0xbf	0xc140;¼¿ Hangul Sios E Rieul
0xc0	0xc148;¼À Hangul Sios E Mieum
0xc1	0xc149;¼Á Hangul Sios E Pieup
0xc2	0xc14b;¼Â Hangul Sios E Sios
0xc3	0xc14c;¼Ã Hangul Sios E Ssangsios
0xc4	0xc14d;¼Ä Hangul Sios E Ieung
0xc5	0xc154;¼Å Hangul Sios Yeo
0xc6	0xc155;¼Æ Hangul Sios Yeo Kiyeok
0xc7	0xc158;¼Ç Hangul Sios Yeo Nieun
0xc8	0xc15c;¼È Hangul Sios Yeo Rieul
0xc9	0xc164;¼É Hangul Sios Yeo Mieum
0xca	0xc165;¼Ê Hangul Sios Yeo Pieup
0xcb	0xc167;¼Ë Hangul Sios Yeo Sios
0xcc	0xc168;¼Ì Hangul Sios Yeo Ssangsios
0xcd	0xc169;¼Í Hangul Sios Yeo Ieung
0xce	0xc170;¼Î Hangul Sios Ye
0xcf	0xc174;¼Ï Hangul Sios Ye Nieun
0xd0	0xc178;¼Ð Hangul Sios Ye Rieul
0xd1	0xc185;¼Ñ Hangul Sios Ye Ieung
0xd2	0xc18c;¼Ò Hangul Sios O
0xd3	0xc18d;¼Ó Hangul Sios O Kiyeok
0xd4	0xc18e;¼Ô Hangul Sios O Ssangkiyeok
0xd5	0xc190;¼Õ Hangul Sios O Nieun
0xd6	0xc194;¼Ö Hangul Sios O Rieul
0xd7	0xc196;¼× Hangul Sios O Rieul-Mieum
0xd8	0xc19c;¼Ø Hangul Sios O Mieum
0xd9	0xc19d;¼Ù Hangul Sios O Pieup
0xda	0xc19f;¼Ú Hangul Sios O Sios
0xdb	0xc1a1;¼Û Hangul Sios O Ieung
0xdc	0xc1a5;¼Ü Hangul Sios O Thieuth
0xdd	0xc1a8;¼Ý Hangul Sios Wa
0xde	0xc1a9;¼Þ Hangul Sios Wa Kiyeok
0xdf	0xc1ac;¼ß Hangul Sios Wa Nieun
0xe0	0xc1b0;¼à Hangul Sios Wa Rieul
0xe1	0xc1bd;¼á Hangul Sios Wa Ieung
0xe2	0xc1c4;¼â Hangul Sios Wae
0xe3	0xc1c8;¼ã Hangul Sios Wae Nieun
0xe4	0xc1cc;¼ä Hangul Sios Wae Rieul
0xe5	0xc1d4;¼å Hangul Sios Wae Mieum
0xe6	0xc1d7;¼æ Hangul Sios Wae Sios
0xe7	0xc1d8;¼ç Hangul Sios Wae Ssangsios
0xe8	0xc1e0;¼è Hangul Sios Oe
0xe9	0xc1e4;¼é Hangul Sios Oe Nieun
0xea	0xc1e8;¼ê Hangul Sios Oe Rieul
0xeb	0xc1f0;¼ë Hangul Sios Oe Mieum
0xec	0xc1f1;¼ì Hangul Sios Oe Pieup
0xed	0xc1f3;¼í Hangul Sios Oe Sios
0xee	0xc1fc;¼î Hangul Sios Yo
0xef	0xc1fd;¼ï Hangul Sios Yo Kiyeok
0xf0	0xc200;¼ð Hangul Sios Yo Nieun
0xf1	0xc204;¼ñ Hangul Sios Yo Rieul
0xf2	0xc20c;¼ò Hangul Sios Yo Mieum
0xf3	0xc20d;¼ó Hangul Sios Yo Pieup
0xf4	0xc20f;¼ô Hangul Sios Yo Sios
0xf5	0xc211;¼õ Hangul Sios Yo Ieung
0xf6	0xc218;¼ö Hangul Sios U
0xf7	0xc219;¼÷ Hangul Sios U Kiyeok
0xf8	0xc21c;¼ø Hangul Sios U Nieun
0xf9	0xc21f;¼ù Hangul Sios U Tikeut
0xfa	0xc220;¼ú Hangul Sios U Rieul
0xfb	0xc228;¼û Hangul Sios U Mieum
0xfc	0xc229;¼ü Hangul Sios U Pieup
0xfd	0xc22b;¼ý Hangul Sios U Sios
0xfe	0xc22d;¼þ Hangul Sios U Ieung

DBCSTABLE 94            ;LeadByte = 0xbd

0xa1	0xc22f;½¡ Hangul Sios U Chieuch
0xa2	0xc231;½¢ Hangul Sios U Thieuth
0xa3	0xc232;½£ Hangul Sios U Phieuph
0xa4	0xc234;½¤ Hangul Sios Weo
0xa5	0xc248;½¥ Hangul Sios Weo Ssangsios
0xa6	0xc250;½¦ Hangul Sios We
0xa7	0xc251;½§ Hangul Sios We Kiyeok
0xa8	0xc254;½¨ Hangul Sios We Nieun
0xa9	0xc258;½© Hangul Sios We Rieul
0xaa	0xc260;½ª Hangul Sios We Mieum
0xab	0xc265;½« Hangul Sios We Ieung
0xac	0xc26c;½¬ Hangul Sios Wi
0xad	0xc26d;½­ Hangul Sios Wi Kiyeok
0xae	0xc270;½® Hangul Sios Wi Nieun
0xaf	0xc274;½¯ Hangul Sios Wi Rieul
0xb0	0xc27c;½° Hangul Sios Wi Mieum
0xb1	0xc27d;½± Hangul Sios Wi Pieup
0xb2	0xc27f;½² Hangul Sios Wi Sios
0xb3	0xc281;½³ Hangul Sios Wi Ieung
0xb4	0xc288;½´ Hangul Sios Yu
0xb5	0xc289;½µ Hangul Sios Yu Kiyeok
0xb6	0xc290;½¶ Hangul Sios Yu Rieul
0xb7	0xc298;½· Hangul Sios Yu Mieum
0xb8	0xc29b;½¸ Hangul Sios Yu Sios
0xb9	0xc29d;½¹ Hangul Sios Yu Ieung
0xba	0xc2a4;½º Hangul Sios Eu
0xbb	0xc2a5;½» Hangul Sios Eu Kiyeok
0xbc	0xc2a8;½¼ Hangul Sios Eu Nieun
0xbd	0xc2ac;½½ Hangul Sios Eu Rieul
0xbe	0xc2ad;½¾ Hangul Sios Eu Rieul-Kiyeok
0xbf	0xc2b4;½¿ Hangul Sios Eu Mieum
0xc0	0xc2b5;½À Hangul Sios Eu Pieup
0xc1	0xc2b7;½Á Hangul Sios Eu Sios
0xc2	0xc2b9;½Â Hangul Sios Eu Ieung
0xc3	0xc2dc;½Ã Hangul Sios I
0xc4	0xc2dd;½Ä Hangul Sios I Kiyeok
0xc5	0xc2e0;½Å Hangul Sios I Nieun
0xc6	0xc2e3;½Æ Hangul Sios I Tikeut
0xc7	0xc2e4;½Ç Hangul Sios I Rieul
0xc8	0xc2eb;½È Hangul Sios I Rieul-Hieuh
0xc9	0xc2ec;½É Hangul Sios I Mieum
0xca	0xc2ed;½Ê Hangul Sios I Pieup
0xcb	0xc2ef;½Ë Hangul Sios I Sios
0xcc	0xc2f1;½Ì Hangul Sios I Ieung
0xcd	0xc2f6;½Í Hangul Sios I Phieuph
0xce	0xc2f8;½Î Hangul Ssangsios A
0xcf	0xc2f9;½Ï Hangul Ssangsios A Kiyeok
0xd0	0xc2fb;½Ð Hangul Ssangsios A Kiyeok-Sios
0xd1	0xc2fc;½Ñ Hangul Ssangsios A Nieun
0xd2	0xc300;½Ò Hangul Ssangsios A Rieul
0xd3	0xc308;½Ó Hangul Ssangsios A Mieum
0xd4	0xc309;½Ô Hangul Ssangsios A Pieup
0xd5	0xc30c;½Õ Hangul Ssangsios A Ssangsios
0xd6	0xc30d;½Ö Hangul Ssangsios A Ieung
0xd7	0xc313;½× Hangul Ssangsios A Hieuh
0xd8	0xc314;½Ø Hangul Ssangsios Ae
0xd9	0xc315;½Ù Hangul Ssangsios Ae Kiyeok
0xda	0xc318;½Ú Hangul Ssangsios Ae Nieun
0xdb	0xc31c;½Û Hangul Ssangsios Ae Rieul
0xdc	0xc324;½Ü Hangul Ssangsios Ae Mieum
0xdd	0xc325;½Ý Hangul Ssangsios Ae Pieup
0xde	0xc328;½Þ Hangul Ssangsios Ae Ssangsios
0xdf	0xc329;½ß Hangul Ssangsios Ae Ieung
0xe0	0xc345;½à Hangul Ssangsios Ya Ieung
0xe1	0xc368;½á Hangul Ssangsios Eo
0xe2	0xc369;½â Hangul Ssangsios Eo Kiyeok
0xe3	0xc36c;½ã Hangul Ssangsios Eo Nieun
0xe4	0xc370;½ä Hangul Ssangsios Eo Rieul
0xe5	0xc372;½å Hangul Ssangsios Eo Rieul-Mieum
0xe6	0xc378;½æ Hangul Ssangsios Eo Mieum
0xe7	0xc379;½ç Hangul Ssangsios Eo Pieup
0xe8	0xc37c;½è Hangul Ssangsios Eo Ssangsios
0xe9	0xc37d;½é Hangul Ssangsios Eo Ieung
0xea	0xc384;½ê Hangul Ssangsios E
0xeb	0xc388;½ë Hangul Ssangsios E Nieun
0xec	0xc38c;½ì Hangul Ssangsios E Rieul
0xed	0xc3c0;½í Hangul Ssangsios Ye Nieun
0xee	0xc3d8;½î Hangul Ssangsios O
0xef	0xc3d9;½ï Hangul Ssangsios O Kiyeok
0xf0	0xc3dc;½ð Hangul Ssangsios O Nieun
0xf1	0xc3df;½ñ Hangul Ssangsios O Tikeut
0xf2	0xc3e0;½ò Hangul Ssangsios O Rieul
0xf3	0xc3e2;½ó Hangul Ssangsios O Rieul-Mieum
0xf4	0xc3e8;½ô Hangul Ssangsios O Mieum
0xf5	0xc3e9;½õ Hangul Ssangsios O Pieup
0xf6	0xc3ed;½ö Hangul Ssangsios O Ieung
0xf7	0xc3f4;½÷ Hangul Ssangsios Wa
0xf8	0xc3f5;½ø Hangul Ssangsios Wa Kiyeok
0xf9	0xc3f8;½ù Hangul Ssangsios Wa Nieun
0xfa	0xc408;½ú Hangul Ssangsios Wa Ssangsios
0xfb	0xc410;½û Hangul Ssangsios Wae
0xfc	0xc424;½ü Hangul Ssangsios Wae Ssangsios
0xfd	0xc42c;½ý Hangul Ssangsios Oe
0xfe	0xc430;½þ Hangul Ssangsios Oe Nieun

DBCSTABLE 94            ;LeadByte = 0xbe

0xa1	0xc434;¾¡ Hangul Ssangsios Oe Rieul
0xa2	0xc43c;¾¢ Hangul Ssangsios Oe Mieum
0xa3	0xc43d;¾£ Hangul Ssangsios Oe Pieup
0xa4	0xc448;¾¤ Hangul Ssangsios Yo
0xa5	0xc464;¾¥ Hangul Ssangsios U
0xa6	0xc465;¾¦ Hangul Ssangsios U Kiyeok
0xa7	0xc468;¾§ Hangul Ssangsios U Nieun
0xa8	0xc46c;¾¨ Hangul Ssangsios U Rieul
0xa9	0xc474;¾© Hangul Ssangsios U Mieum
0xaa	0xc475;¾ª Hangul Ssangsios U Pieup
0xab	0xc479;¾« Hangul Ssangsios U Ieung
0xac	0xc480;¾¬ Hangul Ssangsios Weo
0xad	0xc494;¾­ Hangul Ssangsios Weo Ssangsios
0xae	0xc49c;¾® Hangul Ssangsios We
0xaf	0xc4b8;¾¯ Hangul Ssangsios Wi
0xb0	0xc4bc;¾° Hangul Ssangsios Wi Nieun
0xb1	0xc4e9;¾± Hangul Ssangsios Yu Ieung
0xb2	0xc4f0;¾² Hangul Ssangsios Eu
0xb3	0xc4f1;¾³ Hangul Ssangsios Eu Kiyeok
0xb4	0xc4f4;¾´ Hangul Ssangsios Eu Nieun
0xb5	0xc4f8;¾µ Hangul Ssangsios Eu Rieul
0xb6	0xc4fa;¾¶ Hangul Ssangsios Eu Rieul-Mieum
0xb7	0xc4ff;¾· Hangul Ssangsios Eu Rieul-Hieuh
0xb8	0xc500;¾¸ Hangul Ssangsios Eu Mieum
0xb9	0xc501;¾¹ Hangul Ssangsios Eu Pieup
0xba	0xc50c;¾º Hangul Ssangsios Yi
0xbb	0xc510;¾» Hangul Ssangsios Yi Nieun
0xbc	0xc514;¾¼ Hangul Ssangsios Yi Rieul
0xbd	0xc51c;¾½ Hangul Ssangsios Yi Mieum
0xbe	0xc528;¾¾ Hangul Ssangsios I
0xbf	0xc529;¾¿ Hangul Ssangsios I Kiyeok
0xc0	0xc52c;¾À Hangul Ssangsios I Nieun
0xc1	0xc530;¾Á Hangul Ssangsios I Rieul
0xc2	0xc538;¾Â Hangul Ssangsios I Mieum
0xc3	0xc539;¾Ã Hangul Ssangsios I Pieup
0xc4	0xc53b;¾Ä Hangul Ssangsios I Sios
0xc5	0xc53d;¾Å Hangul Ssangsios I Ieung
0xc6	0xc544;¾Æ Hangul Ieung A
0xc7	0xc545;¾Ç Hangul Ieung A Kiyeok
0xc8	0xc548;¾È Hangul Ieung A Nieun
0xc9	0xc549;¾É Hangul Ieung A Nieun-Cieuc
0xca	0xc54a;¾Ê Hangul Ieung A Nieun-Hieuh
0xcb	0xc54c;¾Ë Hangul Ieung A Rieul
0xcc	0xc54d;¾Ì Hangul Ieung A Rieul-Kiyeok
0xcd	0xc54e;¾Í Hangul Ieung A Rieul-Mieum
0xce	0xc553;¾Î Hangul Ieung A Rieul-Hieuh
0xcf	0xc554;¾Ï Hangul Ieung A Mieum
0xd0	0xc555;¾Ð Hangul Ieung A Pieup
0xd1	0xc557;¾Ñ Hangul Ieung A Sios
0xd2	0xc558;¾Ò Hangul Ieung A Ssangsios
0xd3	0xc559;¾Ó Hangul Ieung A Ieung
0xd4	0xc55d;¾Ô Hangul Ieung A Thieuth
0xd5	0xc55e;¾Õ Hangul Ieung A Phieuph
0xd6	0xc560;¾Ö Hangul Ieung Ae
0xd7	0xc561;¾× Hangul Ieung Ae Kiyeok
0xd8	0xc564;¾Ø Hangul Ieung Ae Nieun
0xd9	0xc568;¾Ù Hangul Ieung Ae Rieul
0xda	0xc570;¾Ú Hangul Ieung Ae Mieum
0xdb	0xc571;¾Û Hangul Ieung Ae Pieup
0xdc	0xc573;¾Ü Hangul Ieung Ae Sios
0xdd	0xc574;¾Ý Hangul Ieung Ae Ssangsios
0xde	0xc575;¾Þ Hangul Ieung Ae Ieung
0xdf	0xc57c;¾ß Hangul Ieung Ya
0xe0	0xc57d;¾à Hangul Ieung Ya Kiyeok
0xe1	0xc580;¾á Hangul Ieung Ya Nieun
0xe2	0xc584;¾â Hangul Ieung Ya Rieul
0xe3	0xc587;¾ã Hangul Ieung Ya Rieul-Pieup
0xe4	0xc58c;¾ä Hangul Ieung Ya Mieum
0xe5	0xc58d;¾å Hangul Ieung Ya Pieup
0xe6	0xc58f;¾æ Hangul Ieung Ya Sios
0xe7	0xc591;¾ç Hangul Ieung Ya Ieung
0xe8	0xc595;¾è Hangul Ieung Ya Thieuth
0xe9	0xc597;¾é Hangul Ieung Ya Hieuh
0xea	0xc598;¾ê Hangul Ieung Yae
0xeb	0xc59c;¾ë Hangul Ieung Yae Nieun
0xec	0xc5a0;¾ì Hangul Ieung Yae Rieul
0xed	0xc5a9;¾í Hangul Ieung Yae Pieup
0xee	0xc5b4;¾î Hangul Ieung Eo
0xef	0xc5b5;¾ï Hangul Ieung Eo Kiyeok
0xf0	0xc5b8;¾ð Hangul Ieung Eo Nieun
0xf1	0xc5b9;¾ñ Hangul Ieung Eo Nieun-Cieuc
0xf2	0xc5bb;¾ò Hangul Ieung Eo Tikeut
0xf3	0xc5bc;¾ó Hangul Ieung Eo Rieul
0xf4	0xc5bd;¾ô Hangul Ieung Eo Rieul-Kiyeok
0xf5	0xc5be;¾õ Hangul Ieung Eo Rieul-Mieum
0xf6	0xc5c4;¾ö Hangul Ieung Eo Mieum
0xf7	0xc5c5;¾÷ Hangul Ieung Eo Pieup
0xf8	0xc5c6;¾ø Hangul Ieung Eo Pieup-Sios
0xf9	0xc5c7;¾ù Hangul Ieung Eo Sios
0xfa	0xc5c8;¾ú Hangul Ieung Eo Ssangsios
0xfb	0xc5c9;¾û Hangul Ieung Eo Ieung
0xfc	0xc5ca;¾ü Hangul Ieung Eo Cieuc
0xfd	0xc5cc;¾ý Hangul Ieung Eo Khieukh
0xfe	0xc5ce;¾þ Hangul Ieung Eo Phieuph

DBCSTABLE 94            ;LeadByte = 0xbf

0xa1	0xc5d0;¿¡ Hangul Ieung E
0xa2	0xc5d1;¿¢ Hangul Ieung E Kiyeok
0xa3	0xc5d4;¿£ Hangul Ieung E Nieun
0xa4	0xc5d8;¿¤ Hangul Ieung E Rieul
0xa5	0xc5e0;¿¥ Hangul Ieung E Mieum
0xa6	0xc5e1;¿¦ Hangul Ieung E Pieup
0xa7	0xc5e3;¿§ Hangul Ieung E Sios
0xa8	0xc5e5;¿¨ Hangul Ieung E Ieung
0xa9	0xc5ec;¿© Hangul Ieung Yeo
0xaa	0xc5ed;¿ª Hangul Ieung Yeo Kiyeok
0xab	0xc5ee;¿« Hangul Ieung Yeo Ssangkiyeok
0xac	0xc5f0;¿¬ Hangul Ieung Yeo Nieun
0xad	0xc5f4;¿­ Hangul Ieung Yeo Rieul
0xae	0xc5f6;¿® Hangul Ieung Yeo Rieul-Mieum
0xaf	0xc5f7;¿¯ Hangul Ieung Yeo Rieul-Pieup
0xb0	0xc5fc;¿° Hangul Ieung Yeo Mieum
0xb1	0xc5fd;¿± Hangul Ieung Yeo Pieup
0xb2	0xc5fe;¿² Hangul Ieung Yeo Pieup-Sios
0xb3	0xc5ff;¿³ Hangul Ieung Yeo Sios
0xb4	0xc600;¿´ Hangul Ieung Yeo Ssangsios
0xb5	0xc601;¿µ Hangul Ieung Yeo Ieung
0xb6	0xc605;¿¶ Hangul Ieung Yeo Thieuth
0xb7	0xc606;¿· Hangul Ieung Yeo Phieuph
0xb8	0xc607;¿¸ Hangul Ieung Yeo Hieuh
0xb9	0xc608;¿¹ Hangul Ieung Ye
0xba	0xc60c;¿º Hangul Ieung Ye Nieun
0xbb	0xc610;¿» Hangul Ieung Ye Rieul
0xbc	0xc618;¿¼ Hangul Ieung Ye Mieum
0xbd	0xc619;¿½ Hangul Ieung Ye Pieup
0xbe	0xc61b;¿¾ Hangul Ieung Ye Sios
0xbf	0xc61c;¿¿ Hangul Ieung Ye Ssangsios
0xc0	0xc624;¿À Hangul Ieung O
0xc1	0xc625;¿Á Hangul Ieung O Kiyeok
0xc2	0xc628;¿Â Hangul Ieung O Nieun
0xc3	0xc62c;¿Ã Hangul Ieung O Rieul
0xc4	0xc62d;¿Ä Hangul Ieung O Rieul-Kiyeok
0xc5	0xc62e;¿Å Hangul Ieung O Rieul-Mieum
0xc6	0xc630;¿Æ Hangul Ieung O Rieul-Sios
0xc7	0xc633;¿Ç Hangul Ieung O Rieul-Hieuh
0xc8	0xc634;¿È Hangul Ieung O Mieum
0xc9	0xc635;¿É Hangul Ieung O Pieup
0xca	0xc637;¿Ê Hangul Ieung O Sios
0xcb	0xc639;¿Ë Hangul Ieung O Ieung
0xcc	0xc63b;¿Ì Hangul Ieung O Chieuch
0xcd	0xc640;¿Í Hangul Ieung Wa
0xce	0xc641;¿Î Hangul Ieung Wa Kiyeok
0xcf	0xc644;¿Ï Hangul Ieung Wa Nieun
0xd0	0xc648;¿Ð Hangul Ieung Wa Rieul
0xd1	0xc650;¿Ñ Hangul Ieung Wa Mieum
0xd2	0xc651;¿Ò Hangul Ieung Wa Pieup
0xd3	0xc653;¿Ó Hangul Ieung Wa Sios
0xd4	0xc654;¿Ô Hangul Ieung Wa Ssangsios
0xd5	0xc655;¿Õ Hangul Ieung Wa Ieung
0xd6	0xc65c;¿Ö Hangul Ieung Wae
0xd7	0xc65d;¿× Hangul Ieung Wae Kiyeok
0xd8	0xc660;¿Ø Hangul Ieung Wae Nieun
0xd9	0xc66c;¿Ù Hangul Ieung Wae Mieum
0xda	0xc66f;¿Ú Hangul Ieung Wae Sios
0xdb	0xc671;¿Û Hangul Ieung Wae Ieung
0xdc	0xc678;¿Ü Hangul Ieung Oe
0xdd	0xc679;¿Ý Hangul Ieung Oe Kiyeok
0xde	0xc67c;¿Þ Hangul Ieung Oe Nieun
0xdf	0xc680;¿ß Hangul Ieung Oe Rieul
0xe0	0xc688;¿à Hangul Ieung Oe Mieum
0xe1	0xc689;¿á Hangul Ieung Oe Pieup
0xe2	0xc68b;¿â Hangul Ieung Oe Sios
0xe3	0xc68d;¿ã Hangul Ieung Oe Ieung
0xe4	0xc694;¿ä Hangul Ieung Yo
0xe5	0xc695;¿å Hangul Ieung Yo Kiyeok
0xe6	0xc698;¿æ Hangul Ieung Yo Nieun
0xe7	0xc69c;¿ç Hangul Ieung Yo Rieul
0xe8	0xc6a4;¿è Hangul Ieung Yo Mieum
0xe9	0xc6a5;¿é Hangul Ieung Yo Pieup
0xea	0xc6a7;¿ê Hangul Ieung Yo Sios
0xeb	0xc6a9;¿ë Hangul Ieung Yo Ieung
0xec	0xc6b0;¿ì Hangul Ieung U
0xed	0xc6b1;¿í Hangul Ieung U Kiyeok
0xee	0xc6b4;¿î Hangul Ieung U Nieun
0xef	0xc6b8;¿ï Hangul Ieung U Rieul
0xf0	0xc6b9;¿ð Hangul Ieung U Rieul-Kiyeok
0xf1	0xc6ba;¿ñ Hangul Ieung U Rieul-Mieum
0xf2	0xc6c0;¿ò Hangul Ieung U Mieum
0xf3	0xc6c1;¿ó Hangul Ieung U Pieup
0xf4	0xc6c3;¿ô Hangul Ieung U Sios
0xf5	0xc6c5;¿õ Hangul Ieung U Ieung
0xf6	0xc6cc;¿ö Hangul Ieung Weo
0xf7	0xc6cd;¿÷ Hangul Ieung Weo Kiyeok
0xf8	0xc6d0;¿ø Hangul Ieung Weo Nieun
0xf9	0xc6d4;¿ù Hangul Ieung Weo Rieul
0xfa	0xc6dc;¿ú Hangul Ieung Weo Mieum
0xfb	0xc6dd;¿û Hangul Ieung Weo Pieup
0xfc	0xc6e0;¿ü Hangul Ieung Weo Ssangsios
0xfd	0xc6e1;¿ý Hangul Ieung Weo Ieung
0xfe	0xc6e8;¿þ Hangul Ieung We

DBCSTABLE 94            ;LeadByte = 0xc0

0xa1	0xc6e9;À¡ Hangul Ieung We Kiyeok
0xa2	0xc6ec;À¢ Hangul Ieung We Nieun
0xa3	0xc6f0;À£ Hangul Ieung We Rieul
0xa4	0xc6f8;À¤ Hangul Ieung We Mieum
0xa5	0xc6f9;À¥ Hangul Ieung We Pieup
0xa6	0xc6fd;À¦ Hangul Ieung We Ieung
0xa7	0xc704;À§ Hangul Ieung Wi
0xa8	0xc705;À¨ Hangul Ieung Wi Kiyeok
0xa9	0xc708;À© Hangul Ieung Wi Nieun
0xaa	0xc70c;Àª Hangul Ieung Wi Rieul
0xab	0xc714;À« Hangul Ieung Wi Mieum
0xac	0xc715;À¬ Hangul Ieung Wi Pieup
0xad	0xc717;À­ Hangul Ieung Wi Sios
0xae	0xc719;À® Hangul Ieung Wi Ieung
0xaf	0xc720;À¯ Hangul Ieung Yu
0xb0	0xc721;À° Hangul Ieung Yu Kiyeok
0xb1	0xc724;À± Hangul Ieung Yu Nieun
0xb2	0xc728;À² Hangul Ieung Yu Rieul
0xb3	0xc730;À³ Hangul Ieung Yu Mieum
0xb4	0xc731;À´ Hangul Ieung Yu Pieup
0xb5	0xc733;Àµ Hangul Ieung Yu Sios
0xb6	0xc735;À¶ Hangul Ieung Yu Ieung
0xb7	0xc737;À· Hangul Ieung Yu Chieuch
0xb8	0xc73c;À¸ Hangul Ieung Eu
0xb9	0xc73d;À¹ Hangul Ieung Eu Kiyeok
0xba	0xc740;Àº Hangul Ieung Eu Nieun
0xbb	0xc744;À» Hangul Ieung Eu Rieul
0xbc	0xc74a;À¼ Hangul Ieung Eu Rieul-Phieuph
0xbd	0xc74c;À½ Hangul Ieung Eu Mieum
0xbe	0xc74d;À¾ Hangul Ieung Eu Pieup
0xbf	0xc74f;À¿ Hangul Ieung Eu Sios
0xc0	0xc751;ÀÀ Hangul Ieung Eu Ieung
0xc1	0xc752;ÀÁ Hangul Ieung Eu Cieuc
0xc2	0xc753;ÀÂ Hangul Ieung Eu Chieuch
0xc3	0xc754;ÀÃ Hangul Ieung Eu Khieukh
0xc4	0xc755;ÀÄ Hangul Ieung Eu Thieuth
0xc5	0xc756;ÀÅ Hangul Ieung Eu Phieuph
0xc6	0xc757;ÀÆ Hangul Ieung Eu Hieuh
0xc7	0xc758;ÀÇ Hangul Ieung Yi
0xc8	0xc75c;ÀÈ Hangul Ieung Yi Nieun
