CODEPAGE 1251           ;Cyrillic - ANSI
0x01f0	0x6a	;Latin Small Letter J With Caron
0x0401	0xa8	;Cyrillic Capital Letter Io
0x0402	0x80	;Cyrillic Capital Letter Dje
0x0403	0x81	;Cyrillic Capital Letter Gje
0x0404	0xaa	;Cyrillic Capital Letter Ukrainian Ie
0x0405	0xbd	;Cyrillic Capital Letter Dze
0x0406	0xb2	;Cyrillic Capital Letter Byelorussian-Ukrainian I
0x0407	0xaf	;Cyrillic Capital Letter Yi
0x0408	0xa3	;Cyrillic Capital Letter Je
0x0409	0x8a	;Cyrillic Capital Letter Lje
0x040a	0x8c	;Cyrillic Capital Letter Nje
0x040b	0x8e	;Cyrillic Capital Letter Tshe
0x040c	0x8d	;Cyrillic Capital Letter Kje
0x040e	0xa1	;Cyrillic Capital Letter Short U
0x040f	0x8f	;Cyrillic Capital Letter Dzhe
0x0410	0xc0	;Cyrillic Capital Letter A
0x0411	0xc1	;Cyrillic Capital Letter Be
0x0412	0xc2	;Cyrillic Capital Letter Ve
0x0413	0xc3	;Cyrillic Capital Letter Ghe
0x0414	0xc4	;Cyrillic Capital Letter De
0x0415	0xc5	;Cyrillic Capital Letter Ie
0x0416	0xc6	;Cyrillic Capital Letter Zhe
0x0417	0xc7	;Cyrillic Capital Letter Ze
0x0418	0xc8	;Cyrillic Capital Letter I
0x0419	0xc9	;Cyrillic Capital Letter Short I
0x041a	0xca	;Cyrillic Capital Letter Ka
0x041b	0xcb	;Cyrillic Capital Letter El
0x041c	0xcc	;Cyrillic Capital Letter Em
0x041d	0xcd	;Cyrillic Capital Letter En
0x041e	0xce	;Cyrillic Capital Letter O
0x041f	0xcf	;Cyrillic Capital Letter Pe
0x0420	0xd0	;Cyrillic Capital Letter Er
0x0421	0xd1	;Cyrillic Capital Letter Es
0x0422	0xd2	;Cyrillic Capital Letter Te
0x0423	0xd3	;Cyrillic Capital Letter U
0x0424	0xd4	;Cyrillic Capital Letter Ef
0x0425	0xd5	;Cyrillic Capital Letter Ha
0x0426	0xd6	;Cyrillic Capital Letter Tse
0x0427	0xd7	;Cyrillic Capital Letter Che
0x0428	0xd8	;Cyrillic Capital Letter Sha
0x0429	0xd9	;Cyrillic Capital Letter Shcha
0x042a	0xda	;Cyrillic Capital Letter Hard Sign
0x042b	0xdb	;Cyrillic Capital Letter Yeru
0x042c	0xdc	;Cyrillic Capital Letter Soft Sign
0x042d	0xdd	;Cyrillic Capital Letter E
0x042e	0xde	;Cyrillic Capital Letter Yu
0x042f	0xdf	;Cyrillic Capital Letter Ya
0x0430	0xe0	;Cyrillic Small Letter A
0x0431	0xe1	;Cyrillic Small Letter Be
0x0432	0xe2	;Cyrillic Small Letter Ve
0x0433	0xe3	;Cyrillic Small Letter Ghe
0x0434	0xe4	;Cyrillic Small Letter De
0x0435	0xe5	;Cyrillic Small Letter Ie
0x0436	0xe6	;Cyrillic Small Letter Zhe
0x0437	0xe7	;Cyrillic Small Letter Ze
0x0438	0xe8	;Cyrillic Small Letter I
0x0439	0xe9	;Cyrillic Small Letter Short I
0x043a	0xea	;Cyrillic Small Letter Ka
0x043b	0xeb	;Cyrillic Small Letter El
0x043c	0xec	;Cyrillic Small Letter Em
0x043d	0xed	;Cyrillic Small Letter En
0x043e	0xee	;Cyrillic Small Letter O
0x043f	0xef	;Cyrillic Small Letter Pe
0x0440	0xf0	;Cyrillic Small Letter Er
0x0441	0xf1	;Cyrillic Small Letter Es
0x0442	0xf2	;Cyrillic Small Letter Te
0x0443	0xf3	;Cyrillic Small Letter U
0x0444	0xf4	;Cyrillic Small Letter Ef
0x0445	0xf5	;Cyrillic Small Letter Ha
0x0446	0xf6	;Cyrillic Small Letter Tse
0x0447	0xf7	;Cyrillic Small Letter Che
0x0448	0xf8	;Cyrillic Small Letter Sha
0x0449	0xf9	;Cyrillic Small Letter Shcha
0x044a	0xfa	;Cyrillic Small Letter Hard Sign
0x044b	0xfb	;Cyrillic Small Letter Yeru
0x044c	0xfc	;Cyrillic Small Letter Soft Sign
0x044d	0xfd	;Cyrillic Small Letter E
0x044e	0xfe	;Cyrillic Small Letter Yu
0x044f	0xff	;Cyrillic Small Letter Ya
0x0451	0xb8	;Cyrillic Small Letter Io
0x0452	0x90	;Cyrillic Small Letter Dje
0x0453	0x83	;Cyrillic Small Letter Gje
0x0454	0xba	;Cyrillic Small Letter Ukrainian Ie
0x0455	0xbe	;Cyrillic Small Letter Dze
0x0456	0xb3	;Cyrillic Small Letter Byelorussian-Ukrainian I
0x0457	0xbf	;Cyrillic Small Letter Yi
0x0458	0xbc	;Cyrillic Small Letter Je
0x0459	0x9a	;Cyrillic Small Letter Lje
0x045a	0x9c	;Cyrillic Small Letter Nje
0x045b	0x9e	;Cyrillic Small Letter Tshe
0x045c	0x9d	;Cyrillic Small Letter Kje
0x045e	0xa2	;Cyrillic Small Letter Short U
0x045f	0x9f	;Cyrillic Small Letter Dzhe
0x0490	0xa5	;Cyrillic Capital Letter Ghe With Upturn
0x0491	0xb4	;Cyrillic Small Letter Ghe With Upturn
0x2013	0x96	;En Dash
0x2014	0x97	;Em Dash
0x2018	0x91	;Left Single Quotation Mark
0x2019	0x92	;Right Single Quotation Mark
0x201a	0x82	;Single Low-9 Quotation Mark
0x201c	0x93	;Left Double Quotation Mark
0x201d	0x94	;Right Double Quotation Mark
0x201e	0x84	;Double Low-9 Quotation Mark
0x2020	0x86	;Dagger
0x2021	0x87	;Double Dagger
0x2022	0x95	;Bullet
0x2026	0x85	;Horizontal Ellipsis
0x2030	0x89	;Per Mille Sign
0x2039	0x8b	;Single Left-Pointing Angle Quotation Mark
0x203a	0x9b	;Single Right-Pointing Angle Quotation Mark
0x203c	0x21	;Double Exclamation Mark
0x20ac	0x88	;Euro Sign
0x2116	0xb9	;Numero Sign
0x2122	0x99	;Trade Mark Sign
0x2190	0x3c	;Leftwards Arrow
0x2191	0x5e	;Upwards Arrow
0x2192	0x3e	;Rightwards Arrow
0x2193	0x76	;Downwards Arrow
0x2194	0x2d	;Left Right Arrow
0x2195	0xa6	;Up Down Arrow
0x21a8	0xa6	;Up Down Arrow With Base
0x2219	0x95	;Bullet Operator
0x221a	0x76	;Square Root
0x221f	0x4c	;Right Angle
0x2302	0xa6	;House
0x2500	0x2d	;Box Drawings Light Horizontal
0x2502	0xa6	;Box Drawings Light Vertical
0x250c	0x2d	;Box Drawings Light Down And Right
0x2510	0xac	;Box Drawings Light Down And Left
0x2514	0x4c	;Box Drawings Light Up And Right
0x2518	0x2d	;Box Drawings Light Up And Left
0x251c	0x2b	;Box Drawings Light Vertical And Right
0x2524	0x2b	;Box Drawings Light Vertical And Left
0x252c	0x54	;Box Drawings Light Down And Horizontal
0x2534	0x2b	;Box Drawings Light Up And Horizontal
0x253c	0x2b	;Box Drawings Light Vertical And Horizontal
0x2550	0x3d	;Box Drawings Double Horizontal
0x2551	0xa6	;Box Drawings Double Vertical
0x2552	0x2d	;Box Drawings Down Single And Right Double
0x2553	0xe3	;Box Drawings Down Double And Right Single
0x2554	0xe3	;Box Drawings Double Down And Right
0x2555	0xac	;Box Drawings Down Single And Left Double
0x2556	0xac	;Box Drawings Down Double And Left Single
0x2557	0xac	;Box Drawings Double Down And Left
0x2558	0x4c	;Box Drawings Up Single And Right Double
0x2559	0x4c	;Box Drawings Up Double And Right Single
0x255a	0x4c	;Box Drawings Double Up And Right
0x255b	0x2d	;Box Drawings Up Single And Left Double
0x255c	0x2d	;Box Drawings Up Double And Left Single
0x255d	0x2d	;Box Drawings Double Up And Left
0x255e	0xa6	;Box Drawings Vertical Single And Right Double
0x255f	0xa6	;Box Drawings Vertical Double And Right Single
0x2560	0xa6	;Box Drawings Double Vertical And Right
0x2561	0xa6	;Box Drawings Vertical Single And Left Double
0x2562	0xa6	;Box Drawings Vertical Double And Left Single
0x2563	0xa6	;Box Drawings Double Vertical And Left
0x2564	0x54	;Box Drawings Down Single And Horizontal Double
0x2565	0x54	;Box Drawings Down Double And Horizontal Single
0x2566	0x54	;Box Drawings Double Down And Horizontal
0x2567	0xa6	;Box Drawings Up Single And Horizontal Double
0x2568	0xa6	;Box Drawings Up Double And Horizontal Single
0x2569	0xa6	;Box Drawings Double Up And Horizontal
0x256a	0x2b	;Box Drawings Vertical Single And Horizontal Double
0x256b	0x2b	;Box Drawings Vertical Double And Horizontal Single
0x256c	0x2b	;Box Drawings Double Vertical And Horizontal
0x2580	0x2d	;Upper Half Block
0x2584	0x2d	;Lower Half Block
0x2588	0x2d	;Full Block
0x258c	0xa6	;Left Half Block
0x2590	0xa6	;Right Half Block
0x2591	0x2d	;Light Shade
0x2592	0x2d	;Medium Shade
0x2593	0x2d	;Dark Shade
0x25a0	0xa6	;Black Square
0x25ac	0x2d	;Black Rectangle
0x25b2	0x5e	;Black Up-Pointing Triangle
0x25ba	0x3e	;Black Right-Pointing Pointer
0x25bc	0xa1	;Black Down-Pointing Triangle
0x25c4	0x3c	;Black Left-Pointing Pointer
0x25cb	0x30	;White Circle
0x25d8	0x95	;Inverse Bullet
0x25d9	0x30	;Inverse White Circle
0x263a	0x4f	;White Smiling Face
0x263b	0x4f	;Black Smiling Face
0x263c	0x30	;White Sun With Rays
0x2640	0x2b	;Female Sign
0x2642	0x3e	;Male Sign
0x2660	0xa6	;Black Spade Suit
0x2663	0xa6	;Black Club Suit
0x2665	0xa6	;Black Heart Suit
0x2666	0xa6	;Black Diamond Suit
0x266a	0x64	;Eighth Note
0x266b	0x64	;Beamed Eighth Notes
0xff01	0x21	;Fullwidth Exclamation Mark
0xff02	0x22	;Fullwidth Quotation Mark
0xff03	0x23	;Fullwidth Number Sign
0xff04	0x24	;Fullwidth Dollar Sign
0xff05	0x25	;Fullwidth Percent Sign
0xff06	0x26	;Fullwidth Ampersand
0xff07	0x27	;Fullwidth Apostrophe
0xff08	0x28	;Fullwidth Left Parenthesis
0xff09	0x29	;Fullwidth Right Parenthesis
0xff0a	0x2a	;Fullwidth Asterisk
0xff0b	0x2b	;Fullwidth Plus Sign
0xff0c	0x2c	;Fullwidth Comma
0xff0d	0x2d	;Fullwidth Hyphen-Minus
0xff0e	0x2e	;Fullwidth Full Stop
0xff0f	0x2f	;Fullwidth Solidus
0xff10	0x30	;Fullwidth Digit Zero
0xff11	0x31	;Fullwidth Digit One
0xff12	0x32	;Fullwidth Digit Two
0xff13	0x33	;Fullwidth Digit Three
0xff14	0x34	;Fullwidth Digit Four
0xff15	0x35	;Fullwidth Digit Five
0xff16	0x36	;Fullwidth Digit Six
0xff17	0x37	;Fullwidth Digit Seven
0xff18	0x38	;Fullwidth Digit Eight
0xff19	0x39	;Fullwidth Digit Nine
0xff1a	0x3a	;Fullwidth Colon
0xff1b	0x3b	;Fullwidth Semicolon
0xff1c	0x3c	;Fullwidth Less-Than Sign
0xff1d	0x3d	;Fullwidth Equals Sign
0xff1e	0x3e	;Fullwidth Greater-Than Sign
0xff1f	0x3f	;Fullwidth Question Mark
0xff20	0x40	;Fullwidth Commercial At
0xff21	0x41	;Fullwidth Latin Capital Letter A
0xff22	0x42	;Fullwidth Latin Capital Letter B
0xff23	0x43	;Fullwidth Latin Capital Letter C
0xff24	0x44	;Fullwidth Latin Capital Letter D
0xff25	0x45	;Fullwidth Latin Capital Letter E
0xff26	0x46	;Fullwidth Latin Capital Letter F
0xff27	0x47	;Fullwidth Latin Capital Letter G
0xff28	0x48	;Fullwidth Latin Capital Letter H
0xff29	0x49	;Fullwidth Latin Capital Letter I
0xff2a	0x4a	;Fullwidth Latin Capital Letter J
0xff2b	0x4b	;Fullwidth Latin Capital Letter K
0xff2c	0x4c	;Fullwidth Latin Capital Letter L
0xff2d	0x4d	;Fullwidth Latin Capital Letter M
0xff2e	0x4e	;Fullwidth Latin Capital Letter N
0xff2f	0x4f	;Fullwidth Latin Capital Letter O
0xff30	0x50	;Fullwidth Latin Capital Letter P
0xff31	0x51	;Fullwidth Latin Capital Letter Q
0xff32	0x52	;Fullwidth Latin Capital Letter R
0xff33	0x53	;Fullwidth Latin Capital Letter S
0xff34	0x54	;Fullwidth Latin Capital Letter T
0xff35	0x55	;Fullwidth Latin Capital Letter U
0xff36	0x56	;Fullwidth Latin Capital Letter V
0xff37	0x57	;Fullwidth Latin Capital Letter W
0xff38	0x58	;Fullwidth Latin Capital Letter X
0xff39	0x59	;Fullwidth Latin Capital Letter Y
0xff3a	0x5a	;Fullwidth Latin Capital Letter Z
0xff3b	0x5b	;Fullwidth Left Square Bracket
0xff3c	0x5c	;Fullwidth Reverse Solidus
0xff3d	0x5d	;Fullwidth Right Square Bracket
0xff3e	0x5e	;Fullwidth Circumflex Accent
0xff3f	0x5f	;Fullwidth Low Line
0xff40	0x60	;Fullwidth Grave Accent
0xff41	0x61	;Fullwidth Latin Small Letter A
0xff42	0x62	;Fullwidth Latin Small Letter B
0xff43	0x63	;Fullwidth Latin Small Letter C
0xff44	0x64	;Fullwidth Latin Small Letter D
0xff45	0x65	;Fullwidth Latin Small Letter E
0xff46	0x66	;Fullwidth Latin Small Letter F
0xff47	0x67	;Fullwidth Latin Small Letter G
0xff48	0x68	;Fullwidth Latin Small Letter H
0xff49	0x69	;Fullwidth Latin Small Letter I
0xff4a	0x6a	;Fullwidth Latin Small Letter J
0xff4b	0x6b	;Fullwidth Latin Small Letter K
0xff4c	0x6c	;Fullwidth Latin Small Letter L
0xff4d	0x6d	;Fullwidth Latin Small Letter M
0xff4e	0x6e	;Fullwidth Latin Small Letter N
0xff4f	0x6f	;Fullwidth Latin Small Letter O
0xff50	0x70	;Fullwidth Latin Small Letter P
0xff51	0x71	;Fullwidth Latin Small Letter Q
0xff52	0x72	;Fullwidth Latin Small Letter R
0xff53	0x73	;Fullwidth Latin Small Letter S
0xff54	0x74	;Fullwidth Latin Small Letter T
0xff55	0x75	;Fullwidth Latin Small Letter U
0xff56	0x76	;Fullwidth Latin Small Letter V
0xff57	0x77	;Fullwidth Latin Small Letter W
0xff58	0x78	;Fullwidth Latin Small Letter X
0xff59	0x79	;Fullwidth Latin Small Letter Y
0xff5a	0x7a	;Fullwidth Latin Small Letter Z
0xff5b	0x7b	;Fullwidth Left Curly Bracket
0xff5c	0x7c	;Fullwidth Vertical Line
0xff5d	0x7d	;Fullwidth Right Curly Bracket
0xff5e	0x7e	;Fullwidth Tilde

ENDCODEPAGE

