CODEPAGE 862            ;Hebrew - OEM
0x207f	0xfc	;Superscript n
0x2080	0x30	;Subscript 0
0x2081	0x31	;Subscript 1
0x2082	0x32	;Subscript 2
0x2083	0x33	;Subscript 3
0x2084	0x34	;Subscript 4
0x2085	0x35	;Subscript 5
0x2086	0x36	;Subscript 6
0x2087	0x37	;Subscript 7
0x2088	0x38	;Subscript 8
0x2089	0x39	;Subscript 9
0x20a4	0x9c	;Lira Sign
0x20a7	0x9e	;Peseta Sign
0x20dd	0x09	;Combining Enclosing Circle
0x2102	0x43	;Double-Struck Capital C
0x2107	0x45	;Euler Constant
0x210a	0x67	;Script g
0x210b	0x48	;Script H
0x210c	0x48	;Black-Capital H
0x210d	0x48	;Double-Struck Capital H
0x210e	0x68	;Planck Constant
0x2110	0x49	;Script I
0x2111	0x49	;Black-Capital I
0x2112	0x4c	;Script L
0x2113	0x6c	;Script l
0x2115	0x4e	;Double-Struck Capital N
0x2118	0x50	;Script P
0x2119	0x50	;Double-Struck Capital P
0x211a	0x51	;Double-Struck Capital Q
0x211b	0x52	;Script R
0x211c	0x52	;Black-Capital R
0x211d	0x52	;Double-Struck Capital R
0x2122	0x54	;Trade Mark Sign
0x2124	0x5a	;Double-Struck Capital Z
0x2126	0xea	;Ohm Sign
0x2128	0x5a	;Black-Capital Z
0x212a	0x4b	;Kelvin Sign
0x212c	0x42	;Script B
0x212d	0x43	;Black-Capital C
0x212e	0x65	;Estimated Symbol
0x212f	0x65	;Script e
0x2130	0x45	;Script E
0x2131	0x46	;Script F
0x2133	0x4d	;Script M
0x2134	0x6f	;Script o
0x2190	0x1b	;Leftwards Arrow
0x2191	0x18	;Upwards Arrow
0x2192	0x1a	;Rightwards Arrow
0x2193	0x19	;Downwards Arrow
0x2194	0x1d	;Left Right Arrow
0x2195	0x12	;Up Down Arrow
0x21a8	0x17	;Up Down Arrow With Base
0x2205	0xed	;Empty Set
0x2211	0xe4	;N-Ary Summation
0x2212	0x2d	;Minus Sign
0x2213	0xf1	;Minus-Or-Plus Sign
0x2215	0x2f	;Division Slash
0x2216	0x5c	;Set Minus
0x2217	0x2a	;Asterisk Operator
0x2218	0xf8	;Ring Operator
0x2219	0xf9	;Bullet Operator
0x221a	0xfb	;Square Root
0x221e	0xec	;Infinity
0x221f	0x1c	;Right Angle
0x2223	0x7c	;Divides
0x2229	0xef	;Intersection
0x2236	0x3a	;Ratio
0x223c	0x7e	;Tilde Operator
0x2248	0xf7	;Almost Equal To
0x2261	0xf0	;Identical To
0x2264	0xf3	;Less-Than Or Equal To
0x2265	0xf2	;Greater-Than Or Equal To
0x226a	0xae	;Much Less-Than
0x226b	0xaf	;Much Greater-Than
0x22c5	0xfa	;Dot Operator
0x2302	0x7f	;House
0x2303	0x5e	;Up Arrowhead
0x2310	0xa9	;Reversed Not Sign
0x2320	0xf4	;Top Half Integral
0x2321	0xf5	;Bottom Half Integral
0x2329	0x3c	;Left-Pointing Angle Bracket
0x232a	0x3e	;Right-Pointing Angle Bracket
0x2500	0xc4	;Box Drawings Light Horizontal
0x2502	0xb3	;Box Drawings Light Vertical
0x250c	0xda	;Box Drawings Light Down And Right
0x2510	0xbf	;Box Drawings Light Down And Left
0x2514	0xc0	;Box Drawings Light Up And Right
0x2518	0xd9	;Box Drawings Light Up And Left
0x251c	0xc3	;Box Drawings Light Vertical And Right
0x2524	0xb4	;Box Drawings Light Vertical And Left
0x252c	0xc2	;Box Drawings Light Down And Horizontal
0x2534	0xc1	;Box Drawings Light Up And Horizontal
0x253c	0xc5	;Box Drawings Light Vertical And Horizontal
0x2550	0xcd	;Box Drawings Double Horizontal
0x2551	0xba	;Box Drawings Double Vertical
0x2552	0xd5	;Box Drawings Down Single And Right Double
0x2553	0xd6	;Box Drawings Down Double And Right Single
0x2554	0xc9	;Box Drawings Double Down And Right
0x2555	0xb8	;Box Drawings Down Single And Left Double
0x2556	0xb7	;Box Drawings Down Double And Left Single
0x2557	0xbb	;Box Drawings Double Down And Left
0x2558	0xd4	;Box Drawings Up Single And Right Double
0x2559	0xd3	;Box Drawings Up Double And Right Single
0x255a	0xc8	;Box Drawings Double Up And Right
0x255b	0xbe	;Box Drawings Up Single And Left Double
0x255c	0xbd	;Box Drawings Up Double And Left Single
0x255d	0xbc	;Box Drawings Double Up And Left
0x255e	0xc6	;Box Drawings Vertical Single And Right Double
0x255f	0xc7	;Box Drawings Vertical Double And Right Single
0x2560	0xcc	;Box Drawings Double Vertical And Right
0x2561	0xb5	;Box Drawings Vertical Single And Left Double
0x2562	0xb6	;Box Drawings Vertical Double And Left Single
0x2563	0xb9	;Box Drawings Double Vertical And Left
0x2564	0xd1	;Box Drawings Down Single And Horizontal Double
0x2565	0xd2	;Box Drawings Down Double And Horizontal Single
0x2566	0xcb	;Box Drawings Double Down And Horizontal
0x2567	0xcf	;Box Drawings Up Single And Horizontal Double
0x2568	0xd0	;Box Drawings Up Double And Horizontal Single
0x2569	0xca	;Box Drawings Double Up And Horizontal
0x256a	0xd8	;Box Drawings Vertical Single And Horizontal Double
0x256b	0xd7	;Box Drawings Vertical Double And Horizontal Single
0x256c	0xce	;Box Drawings Double Vertical And Horizontal
0x2580	0xdf	;Upper Half Block
0x2584	0xdc	;Lower Half Block
0x2588	0xdb	;Full Block
0x258c	0xdd	;Left Half Block
0x2590	0xde	;Right Half Block
0x2591	0xb0	;Light Shade
0x2592	0xb1	;Medium Shade
0x2593	0xb2	;Dark Shade
0x25a0	0xfe	;Black Square
0x25ac	0x16	;Black Rectangle
0x25b2	0x1e	;Black Up-Pointing Triangle
0x25ba	0x10	;Black Right-Pointing Pointer
0x25bc	0x1f	;Black Down-Pointing Triangle
0x25c4	0x11	;Black Left-Pointing Pointer
0x25cb	0x09	;White Circle
0x25d8	0x08	;Inverse Bullet
0x25d9	0x0a	;Inverse White Circle
0x263a	0x01	;White Smiling Face
0x263b	0x02	;Black Smiling Face
0x263c	0x0f	;White Sun With Rays
0x2640	0x0c	;Female Sign
0x2642	0x0b	;Male Sign
0x2660	0x06	;Black Spade Suit
0x2663	0x05	;Black Club Suit
0x2665	0x03	;Black Heart Suit
0x2666	0x04	;Black Diamond Suit
0x266a	0x0d	;Eighth Note
0x266b	0x0e	;Beamed Eighth Notes
0x2713	0xfb	;Check Mark
0x2758	0x7c	;Light Vertical Bar
0x3000	0x20	;Ideographic Space
0x3007	0x09	;Ideographic Number Zero
0x3008	0x3c	;Left Angle Bracket
0x3009	0x3e	;Right Angle Bracket
0x300a	0xae	;Left Double Angle Bracket
0x300b	0xaf	;Right Double Angle Bracket
0x301a	0x5b	;Left White Square Bracket
0x301b	0x5d	;Right White Square Bracket
0x30fb	0xfa	;Katakana Middle Dot
0xff01	0x21	;Fullwidth Exclamation Mark
0xff02	0x22	;Fullwidth Quotation Mark
0xff03	0x23	;Fullwidth Number Sign
0xff04	0x24	;Fullwidth Dollar Sign
0xff05	0x25	;Fullwidth Percent Sign
0xff06	0x26	;Fullwidth Ampersand
0xff07	0x27	;Fullwidth Apostrophe
0xff08	0x28	;Fullwidth Left Parenthesis
0xff09	0x29	;Fullwidth Right Parenthesis
0xff0a	0x2a	;Fullwidth Asterisk
0xff0b	0x2b	;Fullwidth Plus Sign
0xff0c	0x2c	;Fullwidth Comma
0xff0d	0x2d	;Fullwidth Hyphen-Minus
0xff0e	0x2e	;Fullwidth Full Stop
0xff0f	0x2f	;Fullwidth Solidus
0xff10	0x30	;Fullwidth Digit Zero
0xff11	0x31	;Fullwidth Digit One
0xff12	0x32	;Fullwidth Digit Two
0xff13	0x33	;Fullwidth Digit Three
0xff14	0x34	;Fullwidth Digit Four
0xff15	0x35	;Fullwidth Digit Five
0xff16	0x36	;Fullwidth Digit Six
0xff17	0x37	;Fullwidth Digit Seven
0xff18	0x38	;Fullwidth Digit Eight
0xff19	0x39	;Fullwidth Digit Nine
0xff1a	0x3a	;Fullwidth Colon
0xff1b	0x3b	;Fullwidth Semicolon
0xff1c	0x3c	;Fullwidth Less-Than Sign
0xff1d	0x3d	;Fullwidth Equals Sign
0xff1e	0x3e	;Fullwidth Greater-Than Sign
0xff1f	0x3f	;Fullwidth Question Mark
0xff20	0x40	;Fullwidth Commercial At
0xff21	0x41	;Fullwidth Latin Capital Letter A
0xff22	0x42	;Fullwidth Latin Capital Letter B
0xff23	0x43	;Fullwidth Latin Capital Letter C
0xff24	0x44	;Fullwidth Latin Capital Letter D
0xff25	0x45	;Fullwidth Latin Capital Letter E
0xff26	0x46	;Fullwidth Latin Capital Letter F
0xff27	0x47	;Fullwidth Latin Capital Letter G
0xff28	0x48	;Fullwidth Latin Capital Letter H
0xff29	0x49	;Fullwidth Latin Capital Letter I
0xff2a	0x4a	;Fullwidth Latin Capital Letter J
0xff2b	0x4b	;Fullwidth Latin Capital Letter K
0xff2c	0x4c	;Fullwidth Latin Capital Letter L
0xff2d	0x4d	;Fullwidth Latin Capital Letter M
0xff2e	0x4e	;Fullwidth Latin Capital Letter N
0xff2f	0x4f	;Fullwidth Latin Capital Letter O
0xff30	0x50	;Fullwidth Latin Capital Letter P
0xff31	0x51	;Fullwidth Latin Capital Letter Q
0xff32	0x52	;Fullwidth Latin Capital Letter R
0xff33	0x53	;Fullwidth Latin Capital Letter S
0xff34	0x54	;Fullwidth Latin Capital Letter T
0xff35	0x55	;Fullwidth Latin Capital Letter U
0xff36	0x56	;Fullwidth Latin Capital Letter V
0xff37	0x57	;Fullwidth Latin Capital Letter W
0xff38	0x58	;Fullwidth Latin Capital Letter X
0xff39	0x59	;Fullwidth Latin Capital Letter Y
0xff3a	0x5a	;Fullwidth Latin Capital Letter Z
0xff3b	0x5b	;Fullwidth Left Square Bracket
0xff3c	0x5c	;Fullwidth Reverse Solidus
0xff3d	0x5d	;Fullwidth Right Square Bracket
0xff3e	0x5e	;Fullwidth Circumflex Accent
0xff3f	0x5f	;Fullwidth Low Line
0xff40	0x60	;Fullwidth Grave Accent
0xff41	0x61	;Fullwidth Latin Small Letter A
0xff42	0x62	;Fullwidth Latin Small Letter B
0xff43	0x63	;Fullwidth Latin Small Letter C
0xff44	0x64	;Fullwidth Latin Small Letter D
0xff45	0x65	;Fullwidth Latin Small Letter E
0xff46	0x66	;Fullwidth Latin Small Letter F
0xff47	0x67	;Fullwidth Latin Small Letter G
0xff48	0x68	;Fullwidth Latin Small Letter H
0xff49	0x69	;Fullwidth Latin Small Letter I
0xff4a	0x6a	;Fullwidth Latin Small Letter J
0xff4b	0x6b	;Fullwidth Latin Small Letter K
0xff4c	0x6c	;Fullwidth Latin Small Letter L
0xff4d	0x6d	;Fullwidth Latin Small Letter M
0xff4e	0x6e	;Fullwidth Latin Small Letter N
0xff4f	0x6f	;Fullwidth Latin Small Letter O
0xff50	0x70	;Fullwidth Latin Small Letter P
0xff51	0x71	;Fullwidth Latin Small Letter Q
0xff52	0x72	;Fullwidth Latin Small Letter R
0xff53	0x73	;Fullwidth Latin Small Letter S
0xff54	0x74	;Fullwidth Latin Small Letter T
0xff55	0x75	;Fullwidth Latin Small Letter U
0xff56	0x76	;Fullwidth Latin Small Letter V
0xff57	0x77	;Fullwidth Latin Small Letter W
0xff58	0x78	;Fullwidth Latin Small Letter X
0xff59	0x79	;Fullwidth Latin Small Letter Y
0xff5a	0x7a	;Fullwidth Latin Small Letter Z
0xff5b	0x7b	;Fullwidth Left Curly Bracket
0xff5c	0x7c	;Fullwidth Vertical Line
0xff5d	0x7d	;Fullwidth Right Curly Bracket
0xff5e	0x7e	;Fullwidth Tilde

ENDCODEPAGE

