CODEPAGE 869            ;Modern Greek - OEM
0x01d0	0x69	;Latin Small Letter I With Caron
0x01d1	0x4f	;Latin Capital Letter O With Caron
0x01d2	0x6f	;Latin Small Letter O With Caron
0x01d3	0x55	;Latin Capital Letter U With Caron
0x01d4	0x75	;Latin Small Letter U With Caron
0x01d5	0x55	;Latin Capital Letter U With Diaeresis And Macron
0x01d6	0x75	;Latin Small Letter U With Diaeresis And Macron
0x01d7	0x55	;Latin Capital Letter U With Diaeresis And Acute
0x01d8	0x75	;Latin Small Letter U With Diaeresis And Acute
0x01d9	0x55	;Latin Capital Letter U With Diaeresis And Caron
0x01da	0x75	;Latin Small Letter U With Diaeresis And Caron
0x01db	0x55	;Latin Capital Letter U With Diaeresis And Grave
0x01dc	0x75	;Latin Small Letter U With Diaeresis And Grave
0x01de	0x41	;Latin Capital Letter A With Diaeresis And Macron
0x01df	0x61	;Latin Small Letter A With Diaeresis And Macron
0x01e4	0x47	;Latin Capital Letter G With Stroke
0x01e5	0x67	;Latin Small Letter G With Stroke
0x01e6	0x47	;Latin Capital Letter G With Caron
0x01e7	0x67	;Latin Small Letter G With Caron
0x01e8	0x4b	;Latin Capital Letter K With Caron
0x01e9	0x6b	;Latin Small Letter K With Caron
0x01ea	0x4f	;Latin Capital Letter O With Ogonek
0x01eb	0x6f	;Latin Small Letter O With Ogonek
0x01ec	0x4f	;Latin Capital Letter O With Ogonek And Macron
0x01ed	0x6f	;Latin Small Letter O With Ogonek And Macron
0x01f0	0x6a	;Latin Small Letter J With Caron
0x030d	0xef	;Combining Vertical Line Above
0x037e	0x3b	;Greek Question Mark(Best-fit)(#28094)
0x0384	0xef	;Greek Tonos
0x0385	0xf7	;Greek Dialytika Tonos
0x0386	0x86	;Greek Capital Letter Alpha With Tonos
0x0388	0x8d	;Greek Capital Letter Epsilon With Tonos
0x0389	0x8f	;Greek Capital Letter Eta With Tonos
0x038a	0x90	;Greek Capital Letter Iota With Tonos
0x038c	0x92	;Greek Capital Letter Omicron With Tonos
0x038e	0x95	;Greek Capital Letter Upsilon With Tonos
0x038f	0x98	;Greek Capital Letter Omega With Tonos
0x0390	0xa1	;Greek Small Letter Iota With Dialytika And Tonos
0x0391	0xa4	;Greek Capital Letter Alpha
0x0392	0xa5	;Greek Capital Letter Beta
0x0393	0xa6	;Greek Capital Letter Gamma
0x0394	0xa7	;Greek Capital Letter Delta
0x0395	0xa8	;Greek Capital Letter Epsilon
0x0396	0xa9	;Greek Capital Letter Zeta
0x0397	0xaa	;Greek Capital Letter Eta
0x0398	0xac	;Greek Capital Letter Theta
0x0399	0xad	;Greek Capital Letter Iota
0x039a	0xb5	;Greek Capital Letter Kappa
0x039b	0xb6	;Greek Capital Letter Lamda
0x039c	0xb7	;Greek Capital Letter Mu
0x039d	0xb8	;Greek Capital Letter Nu
0x039e	0xbd	;Greek Capital Letter Xi
0x039f	0xbe	;Greek Capital Letter Omicron
0x03a0	0xc6	;Greek Capital Letter Pi
0x03a1	0xc7	;Greek Capital Letter Rho
0x03a3	0xcf	;Greek Capital Letter Sigma
0x03a4	0xd0	;Greek Capital Letter Tau
0x03a5	0xd1	;Greek Capital Letter Upsilon
0x03a6	0xd2	;Greek Capital Letter Phi
0x03a7	0xd3	;Greek Capital Letter Chi
0x03a8	0xd4	;Greek Capital Letter Psi
0x03a9	0xd5	;Greek Capital Letter Omega
0x03aa	0x91	;Greek Capital Letter Iota With Dialytika
0x03ab	0x96	;Greek Capital Letter Upsilon With Dialytika
0x03ac	0x9b	;Greek Small Letter Alpha With Tonos
0x03ad	0x9d	;Greek Small Letter Epsilon With Tonos
0x03ae	0x9e	;Greek Small Letter Eta With Tonos
0x03af	0x9f	;Greek Small Letter Iota With Tonos
0x03b0	0xfc	;Greek Small Letter Upsilon With Dialytika And Tonos
0x03b1	0xd6	;Greek Small Letter Alpha
0x03b2	0xd7	;Greek Small Letter Beta
0x03b3	0xd8	;Greek Small Letter Gamma
0x03b4	0xdd	;Greek Small Letter Delta
0x03b5	0xde	;Greek Small Letter Epsilon
0x03b6	0xe0	;Greek Small Letter Zeta
0x03b7	0xe1	;Greek Small Letter Eta
0x03b8	0xe2	;Greek Small Letter Theta
0x03b9	0xe3	;Greek Small Letter Iota
0x03ba	0xe4	;Greek Small Letter Kappa
0x03bb	0xe5	;Greek Small Letter Lamda
0x03bc	0xe6	;Greek Small Letter Mu
0x03bd	0xe7	;Greek Small Letter Nu
0x03be	0xe8	;Greek Small Letter Xi
0x03bf	0xe9	;Greek Small Letter Omicron
0x03c0	0xea	;Greek Small Letter Pi
0x03c1	0xeb	;Greek Small Letter Rho
0x03c2	0xed	;Greek Small Letter Final Sigma
0x03c3	0xec	;Greek Small Letter Sigma
0x03c4	0xee	;Greek Small Letter Tau
0x03c5	0xf2	;Greek Small Letter Upsilon
0x03c6	0xf3	;Greek Small Letter Phi
0x03c7	0xf4	;Greek Small Letter Chi
0x03c8	0xf6	;Greek Small Letter Psi
0x03c9	0xfa	;Greek Small Letter Omega
0x03ca	0xa0	;Greek Small Letter Iota With Dialytika
0x03cb	0xfb	;Greek Small Letter Upsilon With Dialytika
0x03cc	0xa2	;Greek Small Letter Omicron With Tonos
0x03cd	0xa3	;Greek Small Letter Upsilon With Tonos
0x03ce	0xfd	;Greek Small Letter Omega With Tonos
0x2013	0x16	;En Dash
0x2014	0x16	;Em Dash
0x2015	0x8e	;Horizontal Bar
0x2018	0x8b	;Left Single Quotation Mark
0x2019	0x8c	;Right Single Quotation Mark
0x201a	0x8c	;Single Low-9 Quotation Mark
0x201c	0x22	;Left Double Quotation Mark
0x201d	0x22	;Right Double Quotation Mark
0x201e	0x22	;Double Low-9 Quotation Mark
0x2020	0x2b	;Dagger
0x2021	0x2b	;Double Dagger
0x2022	0x07	;Bullet
0x2026	0x3a	;Horizontal Ellipsis
0x2030	0x25	;Per Mille Sign
0x2039	0x3c	;Single Left-Pointing Angle Quotation Mark
0x203a	0x3e	;Single Right-Pointing Angle Quotation Mark
0x203c	0x13	;Double Exclamation Mark
0x2122	0x54	;Trade Mark Sign
0x2190	0x1b	;Leftwards Arrow
0x2191	0x18	;Upwards Arrow
0x2192	0x1a	;Rightwards Arrow
0x2193	0x19	;Downwards Arrow
0x2194	0x1d	;Left Right Arrow
0x2195	0x12	;Up Down Arrow
0x21a8	0x17	;Up Down Arrow With Base
0x221f	0x1c	;Right Angle
0x2302	0x7f	;House
0x2500	0xc4	;Box Drawings Light Horizontal
0x2502	0xb3	;Box Drawings Light Vertical
0x250c	0xda	;Box Drawings Light Down And Right
0x2510	0xbf	;Box Drawings Light Down And Left
0x2514	0xc0	;Box Drawings Light Up And Right
0x2518	0xd9	;Box Drawings Light Up And Left
0x251c	0xc3	;Box Drawings Light Vertical And Right
0x2524	0xb4	;Box Drawings Light Vertical And Left
0x252c	0xc2	;Box Drawings Light Down And Horizontal
0x2534	0xc1	;Box Drawings Light Up And Horizontal
0x253c	0xc5	;Box Drawings Light Vertical And Horizontal
0x2550	0xcd	;Box Drawings Double Horizontal
0x2551	0xba	;Box Drawings Double Vertical
0x2554	0xc9	;Box Drawings Double Down And Right
0x2557	0xbb	;Box Drawings Double Down And Left
0x255a	0xc8	;Box Drawings Double Up And Right
0x255d	0xbc	;Box Drawings Double Up And Left
0x2560	0xcc	;Box Drawings Double Vertical And Right
0x2563	0xb9	;Box Drawings Double Vertical And Left
0x2566	0xcb	;Box Drawings Double Down And Horizontal
0x2569	0xca	;Box Drawings Double Up And Horizontal
0x256c	0xce	;Box Drawings Double Vertical And Horizontal
0x2580	0xdf	;Upper Half Block
0x2584	0xdc	;Lower Half Block
0x2588	0xdb	;Full Block
0x2591	0xb0	;Light Shade
0x2592	0xb1	;Medium Shade
0x2593	0xb2	;Dark Shade
0x25a0	0xfe	;Black Square
0x25ac	0x16	;Black Rectangle
0x25b2	0x1e	;Black Up-Pointing Triangle
0x25ba	0x10	;Black Right-Pointing Pointer
0x25bc	0x1f	;Black Down-Pointing Triangle
0x25c4	0x11	;Black Left-Pointing Pointer
0x25cb	0x09	;White Circle
0x25d8	0x08	;Inverse Bullet
0x25d9	0x0a	;Inverse White Circle
0x263a	0x01	;White Smiling Face
0x263b	0x02	;Black Smiling Face
0x263c	0x0f	;White Sun With Rays
0x2640	0x0c	;Female Sign
0x2642	0x0b	;Male Sign
0x2660	0x06	;Black Spade Suit
0x2663	0x05	;Black Club Suit
0x2665	0x03	;Black Heart Suit
0x2666	0x04	;Black Diamond Suit
0x266a	0x0d	;Eighth Note
0x266b	0x0e	;Beamed Eighth Notes

ENDCODEPAGE

