CODEPAGE 28603          ;ISO/IEC 8859-13:1998 (Lithuanian)
0x0118	0xc6	 ;LATIN CAPITAL LETTER E WITH OGONEK
0x0119	0xe6	 ;LATIN SMALL LETTER E WITH OGONEK
0x011a	0x45	 ;LATIN CAPITAL LETTER E WITH CARON
0x011b	0x65	 ;LATIN SMALL LETTER E WITH CARON
0x011c	0x47	 ;LATIN CAPITAL LETTER G WITH CIRCUMFLEX
0x011d	0x67	 ;LATIN SMALL LETTER G WITH CIRCUMFLEX
0x011e	0x47	 ;LATIN CAPITAL LETTER G WITH BREVE
0x011f	0x67	 ;LATIN SMALL LETTER G WITH BREVE
0x0120	0x47	 ;LATIN CAPITAL LETTER G WITH DOT ABOVE
0x0121	0x67	 ;LATIN SMALL LETTER G WITH DOT ABOVE
0x0122	0xcc	 ;LATIN CAPITAL LETTER G WITH CEDILLA
0x0123	0xec	 ;LATIN SMALL LETTER G WITH CEDILLA
0x0124	0x48	 ;LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0x0125	0x68	 ;LATIN SMALL LETTER H WITH CIRCUMFLEX
0x0128	0x49	 ;LATIN CAPITAL LETTER I WITH TILDE
0x0129	0x69	 ;LATIN SMALL LETTER I WITH TILDE
0x012a	0xce	 ;LATIN CAPITAL LETTER I WITH MACRON
0x012b	0xee	 ;LATIN SMALL LETTER I WITH MACRON
0x012c	0x49	 ;LATIN CAPITAL LETTER I WITH BREVE
0x012d	0x69	 ;LATIN SMALL LETTER I WITH BREVE
0x012e	0xc1	 ;LATIN CAPITAL LETTER I WITH OGONEK
0x012f	0xe1	 ;LATIN SMALL LETTER I WITH OGONEK
0x0130	0x49	 ;LATIN CAPITAL LETTER I WITH DOT ABOVE
0x0134	0x4a	 ;LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0x0135	0x6a	 ;LATIN SMALL LETTER J WITH CIRCUMFLEX
0x0136	0xcd	 ;LATIN CAPITAL LETTER K WITH CEDILLA
0x0137	0xed	 ;LATIN SMALL LETTER K WITH CEDILLA
0x0139	0x4c	 ;LATIN CAPITAL LETTER L WITH ACUTE
0x013a	0x6c	 ;LATIN SMALL LETTER L WITH ACUTE
0x013b	0xcf	 ;LATIN CAPITAL LETTER L WITH CEDILLA
0x013c	0xef	 ;LATIN SMALL LETTER L WITH CEDILLA
0x013d	0x4c	 ;LATIN CAPITAL LETTER L WITH CARON
0x013e	0x6c	 ;LATIN SMALL LETTER L WITH CARON
0x0141	0xd9	 ;LATIN CAPITAL LETTER L WITH STROKE
0x0142	0xf9	 ;LATIN SMALL LETTER L WITH STROKE
0x0143	0xd1	 ;LATIN CAPITAL LETTER N WITH ACUTE
0x0144	0xf1	 ;LATIN SMALL LETTER N WITH ACUTE
0x0145	0xd2	 ;LATIN CAPITAL LETTER N WITH CEDILLA
0x0146	0xf2	 ;LATIN SMALL LETTER N WITH CEDILLA
0x0147	0x4e	 ;LATIN CAPITAL LETTER N WITH CARON
0x0148	0x6e	 ;LATIN SMALL LETTER N WITH CARON
0x014c	0xd4	 ;LATIN CAPITAL LETTER O WITH MACRON
0x014d	0xf4	 ;LATIN SMALL LETTER O WITH MACRON
0x014e	0x4f	 ;LATIN CAPITAL LETTER O WITH BREVE
0x014f	0x6f	 ;LATIN SMALL LETTER O WITH BREVE
0x0150	0x4f	 ;LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0x0151	0x6f	 ;LATIN SMALL LETTER O WITH DOUBLE ACUTE
0x0154	0x52	 ;LATIN CAPITAL LETTER R WITH ACUTE
0x0155	0x72	 ;LATIN SMALL LETTER R WITH ACUTE
0x0156	0xaa	 ;LATIN CAPITAL LETTER R WITH CEDILLA
0x0157	0xba	 ;LATIN SMALL LETTER R WITH CEDILLA
0x0158	0x52	 ;LATIN CAPITAL LETTER R WITH CARON
0x0159	0x72	 ;LATIN SMALL LETTER R WITH CARON
0x015a	0xda	 ;LATIN CAPITAL LETTER S WITH ACUTE
0x015b	0xfa	 ;LATIN SMALL LETTER S WITH ACUTE
0x015c	0x53	 ;LATIN CAPITAL LETTER S WITH CIRCUMFLEX
0x015d	0x73	 ;LATIN SMALL LETTER S WITH CIRCUMFLEX
0x015e	0x53	 ;LATIN CAPITAL LETTER S WITH CEDILLA
0x015f	0x73	 ;LATIN SMALL LETTER S WITH CEDILLA
0x0160	0xd0	 ;LATIN CAPITAL LETTER S WITH CARON
0x0161	0xf0	 ;LATIN SMALL LETTER S WITH CARON
0x0162	0x54	 ;LATIN CAPITAL LETTER T WITH CEDILLA
0x0163	0x74	 ;LATIN SMALL LETTER T WITH CEDILLA
0x0164	0x54	 ;LATIN CAPITAL LETTER T WITH CARON
0x0165	0x74	 ;LATIN SMALL LETTER T WITH CARON
0x0168	0x55	 ;LATIN CAPITAL LETTER U WITH TILDE
0x0169	0x75	 ;LATIN SMALL LETTER U WITH TILDE
0x016a	0xdb	 ;LATIN CAPITAL LETTER U WITH MACRON
0x016b	0xfb	 ;LATIN SMALL LETTER U WITH MACRON
0x016c	0x55	 ;LATIN CAPITAL LETTER U WITH BREVE
0x016d	0x75	 ;LATIN SMALL LETTER U WITH BREVE
0x016e	0x55	 ;LATIN CAPITAL LETTER U WITH RING ABOVE
0x016f	0x75	 ;LATIN SMALL LETTER U WITH RING ABOVE
0x0170	0x55	 ;LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0x0171	0x75	 ;LATIN SMALL LETTER U WITH DOUBLE ACUTE
0x0172	0xd8	 ;LATIN CAPITAL LETTER U WITH OGONEK
0x0173	0xf8	 ;LATIN SMALL LETTER U WITH OGONEK
0x0174	0x57	 ;LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0x0175	0x77	 ;LATIN SMALL LETTER W WITH CIRCUMFLEX
0x0176	0x59	 ;LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0x0177	0x79	 ;LATIN SMALL LETTER Y WITH CIRCUMFLEX
0x0178	0x59	 ;LATIN CAPITAL LETTER Y WITH DIAERESIS
0x0179	0xca	 ;LATIN CAPITAL LETTER Z WITH ACUTE
0x017a	0xea	 ;LATIN SMALL LETTER Z WITH ACUTE
0x017b	0xdd	 ;LATIN CAPITAL LETTER Z WITH DOT ABOVE
0x017c	0xfd	 ;LATIN SMALL LETTER Z WITH DOT ABOVE
0x017d	0xde	 ;LATIN CAPITAL LETTER Z WITH CARON
0x017e	0xfe	 ;LATIN SMALL LETTER Z WITH CARON
0x017f	0x73	 ;LATIN SMALL LETTER LONG S
0x01a0	0x4f	 ;LATIN CAPITAL LETTER O WITH HORN
0x01a1	0x6f	 ;LATIN SMALL LETTER O WITH HORN
0x01af	0x55	 ;LATIN CAPITAL LETTER U WITH HORN
0x01b0	0x75	 ;LATIN SMALL LETTER U WITH HORN
0x01cd	0x41	 ;LATIN CAPITAL LETTER A WITH CARON
0x01ce	0x61	 ;LATIN SMALL LETTER A WITH CARON
0x01cf	0x49	 ;LATIN CAPITAL LETTER I WITH CARON
0x01d0	0x69	 ;LATIN SMALL LETTER I WITH CARON
0x01d1	0x4f	 ;LATIN CAPITAL LETTER O WITH CARON
0x01d2	0x6f	 ;LATIN SMALL LETTER O WITH CARON
0x01d3	0x55	 ;LATIN CAPITAL LETTER U WITH CARON
0x01d4	0x75	 ;LATIN SMALL LETTER U WITH CARON
0x01d5	0xdc	 ;LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
0x01d6	0xfc	 ;LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
0x01d7	0xdc	 ;LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
0x01d8	0xfc	 ;LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
0x01d9	0xdc	 ;LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
0x01da	0xfc	 ;LATIN SMALL LETTER U WITH DIAERESIS AND CARON
0x01db	0xdc	 ;LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
0x01dc	0xfc	 ;LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
0x01de	0xc4	 ;LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
0x01df	0xe4	 ;LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
0x01e0	0x41	 ;LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
0x01e1	0x61	 ;LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
0x01e2	0xaf	 ;LATIN CAPITAL LETTER AE WITH MACRON
0x01e3	0xbf	 ;LATIN SMALL LETTER AE WITH MACRON
0x01e6	0x47	 ;LATIN CAPITAL LETTER G WITH CARON
0x01e7	0x67	 ;LATIN SMALL LETTER G WITH CARON
0x01e8	0x4b	 ;LATIN CAPITAL LETTER K WITH CARON
0x01e9	0x6b	 ;LATIN SMALL LETTER K WITH CARON
0x01ea	0x4f	 ;LATIN CAPITAL LETTER O WITH OGONEK
0x01eb	0x6f	 ;LATIN SMALL LETTER O WITH OGONEK
0x01ec	0x4f	 ;LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
0x01ed	0x6f	 ;LATIN SMALL LETTER O WITH OGONEK AND MACRON
0x01f0	0x6a	 ;LATIN SMALL LETTER J WITH CARON
0x01f4	0x47	 ;LATIN CAPITAL LETTER G WITH ACUTE
0x01f5	0x67	 ;LATIN SMALL LETTER G WITH ACUTE
0x01f8	0x4e	 ;LATIN CAPITAL LETTER N WITH GRAVE
0x01f9	0x6e	 ;LATIN SMALL LETTER N WITH GRAVE
0x01fa	0xc5	 ;LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
0x01fb	0xe5	 ;LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
0x01fc	0xaf	 ;LATIN CAPITAL LETTER AE WITH ACUTE
0x01fd	0xbf	 ;LATIN SMALL LETTER AE WITH ACUTE
0x01fe	0xa8	 ;LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
0x01ff	0xb8	 ;LATIN SMALL LETTER O WITH STROKE AND ACUTE
0x0200	0x41	 ;LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
0x0201	0x61	 ;LATIN SMALL LETTER A WITH DOUBLE GRAVE
0x0202	0x41	 ;LATIN CAPITAL LETTER A WITH INVERTED BREVE
0x0203	0x61	 ;LATIN SMALL LETTER A WITH INVERTED BREVE
0x0204	0x45	 ;LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
0x0205	0x65	 ;LATIN SMALL LETTER E WITH DOUBLE GRAVE
0x0206	0x45	 ;LATIN CAPITAL LETTER E WITH INVERTED BREVE
0x0207	0x65	 ;LATIN SMALL LETTER E WITH INVERTED BREVE
0x0208	0x49	 ;LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
0x0209	0x69	 ;LATIN SMALL LETTER I WITH DOUBLE GRAVE
0x020a	0x49	 ;LATIN CAPITAL LETTER I WITH INVERTED BREVE
0x020b	0x69	 ;LATIN SMALL LETTER I WITH INVERTED BREVE
0x020c	0x4f	 ;LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
0x020d	0x6f	 ;LATIN SMALL LETTER O WITH DOUBLE GRAVE
0x020e	0x4f	 ;LATIN CAPITAL LETTER O WITH INVERTED BREVE
0x020f	0x6f	 ;LATIN SMALL LETTER O WITH INVERTED BREVE
0x0210	0x52	 ;LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
0x0211	0x72	 ;LATIN SMALL LETTER R WITH DOUBLE GRAVE
0x0212	0x52	 ;LATIN CAPITAL LETTER R WITH INVERTED BREVE
0x0213	0x72	 ;LATIN SMALL LETTER R WITH INVERTED BREVE
0x0214	0x55	 ;LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
0x0215	0x75	 ;LATIN SMALL LETTER U WITH DOUBLE GRAVE
0x0216	0x55	 ;LATIN CAPITAL LETTER U WITH INVERTED BREVE
0x0217	0x75	 ;LATIN SMALL LETTER U WITH INVERTED BREVE
0x0218	0x53	 ;LATIN CAPITAL LETTER S WITH COMMA BELOW
0x0219	0x73	 ;LATIN SMALL LETTER S WITH COMMA BELOW
0x021a	0x54	 ;LATIN CAPITAL LETTER T WITH COMMA BELOW
0x021b	0x74	 ;LATIN SMALL LETTER T WITH COMMA BELOW
0x021e	0x48	 ;LATIN CAPITAL LETTER H WITH CARON
0x021f	0x68	 ;LATIN SMALL LETTER H WITH CARON
0x0226	0x41	 ;LATIN CAPITAL LETTER A WITH DOT ABOVE
0x0227	0x61	 ;LATIN SMALL LETTER A WITH DOT ABOVE
0x0228	0x45	 ;LATIN CAPITAL LETTER E WITH CEDILLA
0x0229	0x65	 ;LATIN SMALL LETTER E WITH CEDILLA
0x022a	0xd6	 ;LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
0x022b	0xf6	 ;LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
0x022c	0xd5	 ;LATIN CAPITAL LETTER O WITH TILDE AND MACRON
0x022d	0xf5	 ;LATIN SMALL LETTER O WITH TILDE AND MACRON
0x022e	0x4f	 ;LATIN CAPITAL LETTER O WITH DOT ABOVE
0x022f	0x6f	 ;LATIN SMALL LETTER O WITH DOT ABOVE
0x0230	0x4f	 ;LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
0x0231	0x6f	 ;LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
0x0232	0x59	 ;LATIN CAPITAL LETTER Y WITH MACRON
0x0233	0x79	 ;LATIN SMALL LETTER Y WITH MACRON
0x02b0	0x68	 ;MODIFIER LETTER SMALL H
0x02b2	0x6a	 ;MODIFIER LETTER SMALL J
0x02b3	0x72	 ;MODIFIER LETTER SMALL R
0x02b7	0x77	 ;MODIFIER LETTER SMALL W
0x02b8	0x79	 ;MODIFIER LETTER SMALL Y
0x02e1	0x6c	 ;MODIFIER LETTER SMALL L
0x02e2	0x73	 ;MODIFIER LETTER SMALL S
0x02e3	0x78	 ;MODIFIER LETTER SMALL X
0x037e	0x3b	 ;GREEK QUESTION MARK
0x0387	0xb7	 ;GREEK ANO TELEIA
0x1e00	0x41	 ;LATIN CAPITAL LETTER A WITH RING BELOW
0x1e01	0x61	 ;LATIN SMALL LETTER A WITH RING BELOW
0x1e02	0x42	 ;LATIN CAPITAL LETTER B WITH DOT ABOVE
0x1e03	0x62	 ;LATIN SMALL LETTER B WITH DOT ABOVE
0x1e04	0x42	 ;LATIN CAPITAL LETTER B WITH DOT BELOW
0x1e05	0x62	 ;LATIN SMALL LETTER B WITH DOT BELOW
0x1e06	0x42	 ;LATIN CAPITAL LETTER B WITH LINE BELOW
0x1e07	0x62	 ;LATIN SMALL LETTER B WITH LINE BELOW
0x1e08	0x43	 ;LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
0x1e09	0x63	 ;LATIN SMALL LETTER C WITH CEDILLA AND ACUTE
0x1e0a	0x44	 ;LATIN CAPITAL LETTER D WITH DOT ABOVE
0x1e0b	0x64	 ;LATIN SMALL LETTER D WITH DOT ABOVE
0x1e0c	0x44	 ;LATIN CAPITAL LETTER D WITH DOT BELOW
0x1e0d	0x64	 ;LATIN SMALL LETTER D WITH DOT BELOW
0x1e0e	0x44	 ;LATIN CAPITAL LETTER D WITH LINE BELOW
0x1e0f	0x64	 ;LATIN SMALL LETTER D WITH LINE BELOW
0x1e10	0x44	 ;LATIN CAPITAL LETTER D WITH CEDILLA
0x1e11	0x64	 ;LATIN SMALL LETTER D WITH CEDILLA
0x1e12	0x44	 ;LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
0x1e13	0x64	 ;LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
0x1e14	0xc7	 ;LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
0x1e15	0xe7	 ;LATIN SMALL LETTER E WITH MACRON AND GRAVE
0x1e16	0xc7	 ;LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
0x1e17	0xe7	 ;LATIN SMALL LETTER E WITH MACRON AND ACUTE
0x1e18	0x45	 ;LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
0x1e19	0x65	 ;LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW
0x1e1a	0x45	 ;LATIN CAPITAL LETTER E WITH TILDE BELOW
0x1e1b	0x65	 ;LATIN SMALL LETTER E WITH TILDE BELOW
0x1e1c	0x45	 ;LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
0x1e1d	0x65	 ;LATIN SMALL LETTER E WITH CEDILLA AND BREVE
0x1e1e	0x46	 ;LATIN CAPITAL LETTER F WITH DOT ABOVE
0x1e1f	0x66	 ;LATIN SMALL LETTER F WITH DOT ABOVE
0x1e20	0x47	 ;LATIN CAPITAL LETTER G WITH MACRON
0x1e21	0x67	 ;LATIN SMALL LETTER G WITH MACRON
0x1e22	0x48	 ;LATIN CAPITAL LETTER H WITH DOT ABOVE
0x1e23	0x68	 ;LATIN SMALL LETTER H WITH DOT ABOVE
0x1e24	0x48	 ;LATIN CAPITAL LETTER H WITH DOT BELOW
0x1e25	0x68	 ;LATIN SMALL LETTER H WITH DOT BELOW
0x1e26	0x48	 ;LATIN CAPITAL LETTER H WITH DIAERESIS
0x1e27	0x68	 ;LATIN SMALL LETTER H WITH DIAERESIS
0x1e28	0x48	 ;LATIN CAPITAL LETTER H WITH CEDILLA
0x1e29	0x68	 ;LATIN SMALL LETTER H WITH CEDILLA
0x1e2a	0x48	 ;LATIN CAPITAL LETTER H WITH BREVE BELOW
0x1e2b	0x68	 ;LATIN SMALL LETTER H WITH BREVE BELOW
0x1e2c	0x49	 ;LATIN CAPITAL LETTER I WITH TILDE BELOW
0x1e2d	0x69	 ;LATIN SMALL LETTER I WITH TILDE BELOW
0x1e2e	0x49	 ;LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
0x1e2f	0x69	 ;LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE
0x1e30	0x4b	 ;LATIN CAPITAL LETTER K WITH ACUTE
0x1e31	0x6b	 ;LATIN SMALL LETTER K WITH ACUTE
0x1e32	0x4b	 ;LATIN CAPITAL LETTER K WITH DOT BELOW
0x1e33	0x6b	 ;LATIN SMALL LETTER K WITH DOT BELOW
0x1e34	0x4b	 ;LATIN CAPITAL LETTER K WITH LINE BELOW
0x1e35	0x6b	 ;LATIN SMALL LETTER K WITH LINE BELOW
0x1e36	0x4c	 ;LATIN CAPITAL LETTER L WITH DOT BELOW
0x1e37	0x6c	 ;LATIN SMALL LETTER L WITH DOT BELOW
0x1e38	0x4c	 ;LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
0x1e39	0x6c	 ;LATIN SMALL LETTER L WITH DOT BELOW AND MACRON
0x1e3a	0x4c	 ;LATIN CAPITAL LETTER L WITH LINE BELOW
0x1e3b	0x6c	 ;LATIN SMALL LETTER L WITH LINE BELOW
0x1e3c	0x4c	 ;LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
0x1e3d	0x6c	 ;LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
0x1e3e	0x4d	 ;LATIN CAPITAL LETTER M WITH ACUTE
0x1e3f	0x6d	 ;LATIN SMALL LETTER M WITH ACUTE
0x1e40	0x4d	 ;LATIN CAPITAL LETTER M WITH DOT ABOVE
0x1e41	0x6d	 ;LATIN SMALL LETTER M WITH DOT ABOVE
0x1e42	0x4d	 ;LATIN CAPITAL LETTER M WITH DOT BELOW
0x1e43	0x6d	 ;LATIN SMALL LETTER M WITH DOT BELOW
0x1e44	0x4e	 ;LATIN CAPITAL LETTER N WITH DOT ABOVE
0x1e45	0x6e	 ;LATIN SMALL LETTER N WITH DOT ABOVE
0x1e46	0x4e	 ;LATIN CAPITAL LETTER N WITH DOT BELOW
0x1e47	0x6e	 ;LATIN SMALL LETTER N WITH DOT BELOW
0x1e48	0x4e	 ;LATIN CAPITAL LETTER N WITH LINE BELOW
0x1e49	0x6e	 ;LATIN SMALL LETTER N WITH LINE BELOW
0x1e4a	0x4e	 ;LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
0x1e4b	0x6e	 ;LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
0x1e4c	0xd5	 ;LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
0x1e4d	0xf5	 ;LATIN SMALL LETTER O WITH TILDE AND ACUTE
0x1e4e	0xd5	 ;LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
0x1e4f	0xf5	 ;LATIN SMALL LETTER O WITH TILDE AND DIAERESIS
0x1e50	0xd4	 ;LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
0x1e51	0xf4	 ;LATIN SMALL LETTER O WITH MACRON AND GRAVE
0x1e52	0xd4	 ;LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
0x1e53	0xf4	 ;LATIN SMALL LETTER O WITH MACRON AND ACUTE
0x1e54	0x50	 ;LATIN CAPITAL LETTER P WITH ACUTE
0x1e55	0x70	 ;LATIN SMALL LETTER P WITH ACUTE
0x1e56	0x50	 ;LATIN CAPITAL LETTER P WITH DOT ABOVE
0x1e57	0x70	 ;LATIN SMALL LETTER P WITH DOT ABOVE
0x1e58	0x52	 ;LATIN CAPITAL LETTER R WITH DOT ABOVE
0x1e59	0x72	 ;LATIN SMALL LETTER R WITH DOT ABOVE
0x1e5a	0x52	 ;LATIN CAPITAL LETTER R WITH DOT BELOW
0x1e5b	0x72	 ;LATIN SMALL LETTER R WITH DOT BELOW
0x1e5c	0x52	 ;LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
0x1e5d	0x72	 ;LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
0x1e5e	0x52	 ;LATIN CAPITAL LETTER R WITH LINE BELOW
0x1e5f	0x72	 ;LATIN SMALL LETTER R WITH LINE BELOW
0x1e60	0x53	 ;LATIN CAPITAL LETTER S WITH DOT ABOVE
0x1e61	0x73	 ;LATIN SMALL LETTER S WITH DOT ABOVE
0x1e62	0x53	 ;LATIN CAPITAL LETTER S WITH DOT BELOW
0x1e63	0x73	 ;LATIN SMALL LETTER S WITH DOT BELOW
0x1e64	0xda	 ;LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
0x1e65	0xfa	 ;LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE
0x1e66	0xd0	 ;LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
0x1e67	0xf0	 ;LATIN SMALL LETTER S WITH CARON AND DOT ABOVE
0x1e68	0x53	 ;LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
0x1e69	0x73	 ;LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE
0x1e6a	0x54	 ;LATIN CAPITAL LETTER T WITH DOT ABOVE
0x1e6b	0x74	 ;LATIN SMALL LETTER T WITH DOT ABOVE
0x1e6c	0x54	 ;LATIN CAPITAL LETTER T WITH DOT BELOW
0x1e6d	0x74	 ;LATIN SMALL LETTER T WITH DOT BELOW
0x1e6e	0x54	 ;LATIN CAPITAL LETTER T WITH LINE BELOW
0x1e6f	0x74	 ;LATIN SMALL LETTER T WITH LINE BELOW
0x1e70	0x54	 ;LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
0x1e71	0x74	 ;LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
0x1e72	0x55	 ;LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
0x1e73	0x75	 ;LATIN SMALL LETTER U WITH DIAERESIS BELOW
0x1e74	0x55	 ;LATIN CAPITAL LETTER U WITH TILDE BELOW
0x1e75	0x75	 ;LATIN SMALL LETTER U WITH TILDE BELOW
0x1e76	0x55	 ;LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
0x1e77	0x75	 ;LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
0x1e78	0x55	 ;LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
0x1e79	0x75	 ;LATIN SMALL LETTER U WITH TILDE AND ACUTE
0x1e7a	0xdb	 ;LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
0x1e7b	0xfb	 ;LATIN SMALL LETTER U WITH MACRON AND DIAERESIS
0x1e7c	0x56	 ;LATIN CAPITAL LETTER V WITH TILDE
0x1e7d	0x76	 ;LATIN SMALL LETTER V WITH TILDE
0x1e7e	0x56	 ;LATIN CAPITAL LETTER V WITH DOT BELOW
0x1e7f	0x76	 ;LATIN SMALL LETTER V WITH DOT BELOW
0x1e80	0x57	 ;LATIN CAPITAL LETTER W WITH GRAVE
0x1e81	0x77	 ;LATIN SMALL LETTER W WITH GRAVE
0x1e82	0x57	 ;LATIN CAPITAL LETTER W WITH ACUTE
0x1e83	0x77	 ;LATIN SMALL LETTER W WITH ACUTE
0x1e84	0x57	 ;LATIN CAPITAL LETTER W WITH DIAERESIS
0x1e85	0x77	 ;LATIN SMALL LETTER W WITH DIAERESIS
0x1e86	0x57	 ;LATIN CAPITAL LETTER W WITH DOT ABOVE
0x1e87	0x77	 ;LATIN SMALL LETTER W WITH DOT ABOVE
0x1e88	0x57	 ;LATIN CAPITAL LETTER W WITH DOT BELOW
0x1e89	0x77	 ;LATIN SMALL LETTER W WITH DOT BELOW
0x1e8a	0x58	 ;LATIN CAPITAL LETTER X WITH DOT ABOVE
0x1e8b	0x78	 ;LATIN SMALL LETTER X WITH DOT ABOVE
0x1e8c	0x58	 ;LATIN CAPITAL LETTER X WITH DIAERESIS
0x1e8d	0x78	 ;LATIN SMALL LETTER X WITH DIAERESIS
0x1e8e	0x59	 ;LATIN CAPITAL LETTER Y WITH DOT ABOVE
0x1e8f	0x79	 ;LATIN SMALL LETTER Y WITH DOT ABOVE
0x1e90	0x5a	 ;LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
0x1e91	0x7a	 ;LATIN SMALL LETTER Z WITH CIRCUMFLEX
0x1e92	0x5a	 ;LATIN CAPITAL LETTER Z WITH DOT BELOW
0x1e93	0x7a	 ;LATIN SMALL LETTER Z WITH DOT BELOW
0x1e94	0x5a	 ;LATIN CAPITAL LETTER Z WITH LINE BELOW
0x1e95	0x7a	 ;LATIN SMALL LETTER Z WITH LINE BELOW
0x1e96	0x68	 ;LATIN SMALL LETTER H WITH LINE BELOW
0x1e97	0x74	 ;LATIN SMALL LETTER T WITH DIAERESIS
0x1e98	0x77	 ;LATIN SMALL LETTER W WITH RING ABOVE
0x1e99	0x79	 ;LATIN SMALL LETTER Y WITH RING ABOVE
0x1e9b	0x73	 ;LATIN SMALL LETTER LONG S WITH DOT ABOVE
0x1ea0	0x41	 ;LATIN CAPITAL LETTER A WITH DOT BELOW
0x1ea1	0x61	 ;LATIN SMALL LETTER A WITH DOT BELOW
0x1ea2	0x41	 ;LATIN CAPITAL LETTER A WITH HOOK ABOVE
0x1ea3	0x61	 ;LATIN SMALL LETTER A WITH HOOK ABOVE
0x1ea4	0x41	 ;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
0x1ea5	0x61	 ;LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
0x1ea6	0x41	 ;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
0x1ea7	0x61	 ;LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
0x1ea8	0x41	 ;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
0x1ea9	0x61	 ;LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
0x1eaa	0x41	 ;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
0x1eab	0x61	 ;LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
0x1eac	0x41	 ;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
0x1ead	0x61	 ;LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
