CODEPAGE 20261          ;T.61		
0x0109	0xc363	;c + Circumflex
0x010a	0xc743	;C + Dot
0x010b	0xc763	;c + Dot
0x010c	0xcf43	;C + Hacek
0x010d	0xcf63	;c + Hacek
0x010e	0xcf44	;D + Hacek
0x010f	0xcf64	;d + Hacek
0x0111	0x00f2	;d Bar
0x0112	0xc545	;E + Macron
0x0113	0xc565	;e + Macron
0x0114	0xc645	;E + Breve
0x0115	0xc665	;e + Breve
0x0116	0xc745	;E + Dot
0x0117	0xc765	;e + Dot
0x0118	0xce45	;E + Ogonek
0x0119	0xce65	;e + Ogonek
0x011a	0xcf45	;E + Hacek
0x011b	0xcf65	;e + Hacek
0x011c	0xc347	;G + Circumflex
0x011d	0xc367	;g + Circumflex
0x011e	0xc647	;G + Breve
0x011f	0xc667	;g + Breve
0x0120	0xc747	;G + Dot
0x0121	0xc767	;g + Dot
0x0122	0xcb47	;G + Cedilla
0x0123	0xcb67	;g + Cedilla
0x0124	0xc348	;H + Circumflex
0x0125	0xc368	;h + Circumflex
0x0126	0x00e4	;H Bar
0x0127	0x00f4	;h Bar
0x0128	0xc449	;I + Tilde
0x0129	0xc469	;i + Tilde
0x012a	0xc549	;I + Macron
0x012b	0xc569	;i + Macron
0x012c	0xc649	;I + Breve
0x012d	0xc669	;i + Breve
0x012e	0xce49	;I + Ogonek
0x012f	0xce69	;i + Ogonek
0x0130	0xc749	;I + Dot
0x0131	0x00f5	;Dotless i
0x0132	0x00e6	;IJ
0x0133	0x00f6	;ij
0x0134	0xc34a	;J + Circumflex
0x0135	0xc36a	;j + Circumflex
0x0136	0xcb4b	;K + Cedilla
0x0137	0xcb6b	;k + Cedilla
0x0138	0x00f0	;Small Kra
0x0139	0xc24c	;L + Acute
0x013a	0xc26c	;l + Acute
0x013b	0xcb4c	;L + Cedilla
0x013c	0xcb6c	;l + Cedilla
0x013d	0xcf4c	;L + Hacek
0x013e	0xcf6c	;l + Hacek
0x013f	0x00e7	;L With Middle Dot
0x0140	0x00f7	;l With Middle Dot
0x0141	0x00e8	;L Slash
0x0142	0x00f8	;l Slash
0x0143	0xc24e	;N + Acute
0x0144	0xc26e	;n + Acute
0x0145	0xcb4e	;N + Cedilla
0x0146	0xcb6e	;n + Cedilla
0x0147	0xcf4e	;N + Hacek
0x0148	0xcf6e	;n + Hacek
0x0149	0x00ef	;Apostrophe n
0x014a	0x00ee	;Eng
0x014b	0x00fe	;Small Eng
0x014c	0xc54f	;O + Macron
0x014d	0xc56f	;o + Macron
0x014e	0xc64f	;O + Breve
0x014f	0xc66f	;o + Breve
0x0150	0xcd4f	;O + Double Acute
0x0151	0xcd6f	;o + Double Acute
0x0152	0x00ea	;OE
0x0153	0x00fa	;oe
0x0154	0xc252	;R + Acute
0x0155	0xc272	;r + Acute
0x0156	0xcb52	;R + Cedilla
0x0157	0xcb72	;r + Cedilla
0x0158	0xcf52	;R + Hacek
0x0159	0xcf72	;r + Hacek
0x015a	0xc253	;S + Acute
0x015b	0xc273	;s + Acute
0x015c	0xc353	;S + Circumflex
0x015d	0xc373	;s + Circumflex
0x015e	0xcb53	;S + Cedilla
0x015f	0xcb73	;s + Cedilla
0x0160	0xcf53	;S + Hacek
0x0161	0xcf73	;s + Hacek
0x0162	0xcb54	;T + Cedilla
0x0163	0xcb74	;t + Cedilla
0x0164	0xcf54	;T + Hacek
0x0165	0xcf74	;t + Hacek
0x0166	0x00ed	;T Bar
0x0167	0x00fd	;t Bar
0x0168	0xc455	;U + Tilde
0x0169	0xc475	;u + Tilde
0x016a	0xc555	;U + Macron
0x016b	0xc575	;u + Macron
0x016c	0xc655	;U + Breve
0x016d	0xc675	;u + Breve
0x016e	0xca55	;U + Ring
0x016f	0xca75	;u + Ring
0x0170	0xcd55	;U + Double Acute
0x0171	0xcd75	;u + Double Acute
0x0172	0xce55	;U + Ogonek
0x0173	0xce75	;u + Ogonek
0x0174	0xc357	;W + Circumflex
0x0175	0xc377	;w + Circumflex
0x0176	0xc359	;Y + Circumflex
0x0177	0xc379	;y + Circumflex
0x0178	0xc859	;Y + Diaeresis
0x0179	0xc25a	;Z + Acute
0x017a	0xc27a	;z + Acute
0x017b	0xc75a	;Z + Dot
0x017c	0xc77a	;z + Dot
0x017d	0xcf5a	;Z + Hacek
0x017e	0xcf7a	;z + Hacek
0x01cd	0xcf41	;A + Hacek
0x01ce	0xcf61	;a + Hacek
0x01cf	0xcf49	;I + Hacek
0x01d0	0xcf69	;i + Hacek
0x01d1	0xcf4f	;O + Hacek
0x01d2	0xcf6f	;o + Hacek
0x01d3	0xcf55	;U + Hacek
0x01d4	0xcf75	;u + Hacek
0x01e2	0xc5e1	;AE + Macron
0x01e3	0xc5f1	;ae + Macron
0x01e6	0xcf47	;G + Hacek
0x01e7	0xcf67	;g + Hacek
0x01e8	0xcf4b	;K + Hacek
0x01e9	0xcf6b	;k + Hacek
0x01ea	0xce4f	;O + Ogonek
0x01eb	0xce6f	;o + Ogonek
0x01f0	0xcf6a	;j + Hacek
0x01f4	0xc247	;G + Acute
0x01f5	0xc267	;g + Acute
0x02c7	0xcf20	;Modifier Hacek
0x02d8	0xc620	;Spacing Breve
0x02d9	0xc720	;Spacing Dot Above
0x02da	0xca20	;Spacing Ring Above
0x02db	0xce20	;Spacing Ogonek
0x02dd	0xcd20	;Spacing Double Acute
0x1e02	0xc742	;B + Dot Above
0x1e03	0xc762	;b + Dot Above
0x1e0a	0xc744	;D + Dot Above
0x1e0b	0xc764	;d + Dot Above
0x1e10	0xcb44	;D + Cedilla
0x1e11	0xcb64	;d + Cedilla
0x1e1e	0xc746	;F + Dot Above
0x1e1f	0xc766	;f + Dot Above
0x1e20	0xc547	;G + Macron
0x1e21	0xc567	;g + Macron
0x1e22	0xc748	;H + Dot Above
0x1e23	0xc768	;h + Dot Above
0x1e26	0xc848	;H + Diaeresis
0x1e27	0xc868	;h + Diaeresis
0x1e28	0xcb48	;H + Cedilla
0x1e29	0xcb68	;h + Cedilla
0x1e30	0xc24b	;K + Acute
0x1e31	0xc26b	;k + Acute
0x1e3e	0xc24d	;M + Acute
0x1e3f	0xc26d	;m + Acute
0x1e40	0xc74d	;M + Dot Above
0x1e41	0xc76d	;m + Dot Above
0x1e44	0xc74e	;N + Dot Above
0x1e45	0xc76e	;n + Dot Above
0x1e54	0xc250	;P + Acute
0x1e55	0xc270	;p + Acute
0x1e56	0xc750	;P + Dot Above
0x1e57	0xc770	;p + Dot Above
0x1e58	0xc752	;R + Dot Above
0x1e59	0xc772	;r + Dot Above
0x1e60	0xc753	;S + Dot Above
0x1e61	0xc773	;s + Dot Above
0x1e6a	0xc754	;T + Dot Above
0x1e6b	0xc774	;t + Dot Above
0x1e7c	0xc456	;V + Tilde
0x1e7d	0xc476	;v + Tilde
0x1e80	0xc157	;W + Grave
0x1e81	0xc177	;w + Grave
0x1e82	0xc257	;W + Acute
0x1e83	0xc277	;w + Acute
0x1e84	0xc857	;W + Diaeresis
0x1e85	0xc877	;w + Diaeresis
0x1e86	0xc757	;W + Dot Above
0x1e87	0xc777	;w + Dot Above
0x1e8a	0xc758	;X + Dot Above
0x1e8b	0xc778	;x + Dot Above
0x1e8c	0xc858	;X + Diaeresis
0x1e8d	0xc878	;x + Diaeresis
0x1e8e	0xc759	;Y + Dot Above
0x1e8f	0xc779	;y + Dot Above
0x1e90	0xc35a	;Z + Circumflex
0x1e91	0xc37a	;z + Circumflex
0x1e97	0xc874	;t + Diaeresis
0x1e98	0xca77	;w + Ring Above
0x1e99	0xca79	;y + Ring Above
0x1ebc	0xc445	;E + Tilde
0x1ebd	0xc465	;e + Tilde
0x1ef2	0xc159	;Y + Grave
0x1ef3	0xc179	;y + Grave
0x1ef8	0xc459	;Y + Tilde
0x1ef9	0xc479	;y + Tilde
0x2126	0x00e0	;Ohm
0xf8dd	0x005c	;EUDC -> Undefined
0xf8de	0x005e	;EUDC -> Undefined
0xf8df	0x0060	;EUDC -> Undefined
0xf8e0	0x007b	;EUDC -> Undefined
0xf8e1	0x00a0	;EUDC -> Undefined
0xf8e2	0x00a9	;EUDC -> Undefined
0xf8e3	0x00aa	;EUDC -> Undefined
0xf8e4	0x00ac	;EUDC -> Undefined
0xf8e5	0x00ad	;EUDC -> Undefined
0xf8e6	0x00ae	;EUDC -> Undefined
0xf8e7	0x00af	;EUDC -> Undefined
0xf8e8	0x00b9	;EUDC -> Undefined
0xf8e9	0x00ba	;EUDC -> Undefined
0xf8ea	0x00e5	;EUDC -> Undefined
0xf8eb	0x00c0	;EUDC -> Undefined
0xf8ec	0x00d0	;EUDC -> Undefined
0xf8ed	0x00d1	;EUDC -> Undefined
0xf8ee	0x00d2	;EUDC -> Undefined
0xf8ef	0x00d3	;EUDC -> Undefined
0xf8f0	0x00d4	;EUDC -> Undefined
0xf8f1	0x00d5	;EUDC -> Undefined
0xf8f2	0x00d6	;EUDC -> Undefined
0xf8f3	0x00d7	;EUDC -> Undefined
0xf8f4	0x00d8	;EUDC -> Undefined
0xf8f5	0x00d9	;EUDC -> Undefined
0xf8f6	0x00da	;EUDC -> Undefined
0xf8f7	0x00db	;EUDC -> Undefined
0xf8f8	0x00dc	;EUDC -> Undefined
0xf8f9	0x00dd	;EUDC -> Undefined
0xf8fa	0x00de	;EUDC -> Undefined
0xf8fb	0x00df	;EUDC -> Undefined
0xf8fc	0x007d	;EUDC -> Undefined
0xf8fd	0x007e	;EUDC -> Undefined
0xf8fe	0x007f	;EUDC -> Undefined
0xf8ff	0x00ff	;EUDC -> Undefined

ENDCODEPAGE

