CODEPAGE 21866          ;Ukrainian - KOI8-U
0x01eb	0x6f	;Latin Small Letter O With Ogonek
0x01ec	0x4f	;Latin Capital Letter O With Ogonek And Macron
0x01ed	0x6f	;Latin Small Letter O With Ogonek And Macron
0x01f0	0x6a	;Latin Small Letter J With Caron
0x0401	0xb3	;Cyrillic Capital Letter Io
0x0402	0x3f	;Cyrillic Capital Letter Dje
0x0403	0x3f	;Cyrillic Capital Letter Gje
0x0404	0xb4	;Cyrillic Capital Letter Ukrainian Ie
0x0405	0x3f	;Cyrillic Capital Letter Dze
0x0406	0xb6	;Cyrillic Capital Letter Belorussian-Ukrainian I
0x0407	0xb7	;Cyrillic Capital Letter Yi (Ukrainian)
0x0408	0x3f	;Cyrillic Capital Letter Je
0x0409	0x3f	;Cyrillic Capital Letter Lje
0x040a	0x3f	;Cyrillic Capital Letter Nje
0x040b	0x3f	;Cyrillic Capital Letter Tshe
0x040c	0x3f	;Cyrillic Capital Letter Kje
0x040e	0xbe	;Cyrillic Capital Letter Belorussian Short U
0x040f	0x3f	;Cyrillic Capital Letter Dzhe
0x0410	0xe1	;Cyrillic Capital Letter A
0x0411	0xe2	;Cyrillic Capital Letter Be
0x0412	0xf7	;Cyrillic Capital Letter Ve
0x0413	0xe7	;Cyrillic Capital Letter Ghe
0x0414	0xe4	;Cyrillic Capital Letter De
0x0415	0xe5	;Cyrillic Capital Letter Ie
0x0416	0xf6	;Cyrillic Capital Letter Zhe
0x0417	0xfa	;Cyrillic Capital Letter Ze
0x0418	0xe9	;Cyrillic Capital Letter I
0x0419	0xea	;Cyrillic Capital Letter Short I
0x041a	0xeb	;Cyrillic Capital Letter Ka
0x041b	0xec	;Cyrillic Capital Letter El
0x041c	0xed	;Cyrillic Capital Letter Em
0x041d	0xee	;Cyrillic Capital Letter En
0x041e	0xef	;Cyrillic Capital Letter O
0x041f	0xf0	;Cyrillic Capital Letter Pe
0x0420	0xf2	;Cyrillic Capital Letter Er
0x0421	0xf3	;Cyrillic Capital Letter Es
0x0422	0xf4	;Cyrillic Capital Letter Te
0x0423	0xf5	;Cyrillic Capital Letter U
0x0424	0xe6	;Cyrillic Capital Letter Ef
0x0425	0xe8	;Cyrillic Capital Letter Ha
0x0426	0xe3	;Cyrillic Capital Letter Tse
0x0427	0xfe	;Cyrillic Capital Letter Che
0x0428	0xfb	;Cyrillic Capital Letter Sha
0x0429	0xfd	;Cyrillic Capital Letter Shcha
0x042a	0xff	;Cyrillic Capital Letter Hard Sign
0x042b	0xf9	;Cyrillic Capital Letter Yeru
0x042c	0xf8	;Cyrillic Capital Letter Soft Sign
0x042d	0xfc	;Cyrillic Capital Letter E
0x042e	0xe0	;Cyrillic Capital Letter Yu
0x042f	0xf1	;Cyrillic Capital Letter Ya
0x0430	0xc1	;Cyrillic Small Letter A
0x0431	0xc2	;Cyrillic Small Letter Be
0x0432	0xd7	;Cyrillic Small Letter Ve
0x0433	0xc7	;Cyrillic Small Letter Ghe
0x0434	0xc4	;Cyrillic Small Letter De
0x0435	0xc5	;Cyrillic Small Letter Ie
0x0436	0xd6	;Cyrillic Small Letter Zhe
0x0437	0xda	;Cyrillic Small Letter Ze
0x0438	0xc9	;Cyrillic Small Letter I
0x0439	0xca	;Cyrillic Small Letter Short I
0x043a	0xcb	;Cyrillic Small Letter Ka
0x043b	0xcc	;Cyrillic Small Letter El
0x043c	0xcd	;Cyrillic Small Letter Em
0x043d	0xce	;Cyrillic Small Letter En
0x043e	0xcf	;Cyrillic Small Letter O
0x043f	0xd0	;Cyrillic Small Letter Pe
0x0440	0xd2	;Cyrillic Small Letter Er
0x0441	0xd3	;Cyrillic Small Letter Es
0x0442	0xd4	;Cyrillic Small Letter Te
0x0443	0xd5	;Cyrillic Small Letter U
0x0444	0xc6	;Cyrillic Small Letter Ef
0x0445	0xc8	;Cyrillic Small Letter Ha
0x0446	0xc3	;Cyrillic Small Letter Tse
0x0447	0xde	;Cyrillic Small Letter Che
0x0448	0xdb	;Cyrillic Small Letter Sha
0x0449	0xdd	;Cyrillic Small Letter Shcha
0x044a	0xdf	;Cyrillic Small Letter Hard Sign
0x044b	0xd9	;Cyrillic Small Letter Yeru
0x044c	0xd8	;Cyrillic Small Letter Soft Sign
0x044d	0xdc	;Cyrillic Small Letter E
0x044e	0xc0	;Cyrillic Small Letter Yu
0x044f	0xd1	;Cyrillic Small Letter Ya
0x0451	0xa3	;Cyrillic Small Letter Io
0x0452	0x3f	;Cyrillic Small Letter Dje
0x0453	0x3f	;Cyrillic Small Letter Gje
0x0454	0xa4	;Cyrillic Small Letter Ukrainian Ie
0x0455	0x3f	;Cyrillic Small Letter Dze
0x0456	0xa6	;Cyrillic Small Letter Belorussian-Ukrainian I
0x0457	0xa7	;Cyrillic Small Letter Yi (Ukrainian)
0x0458	0x3f	;Cyrillic Small Letter Je
0x0459	0x3f	;Cyrillic Small Letter Lje
0x045a	0x3f	;Cyrillic Small Letter Nje
0x045b	0x3f	;Cyrillic Small Letter Tshe
0x045c	0x3f	;Cyrillic Small Letter Kje
0x045e	0xae	;Cyrillic Small Letter Belorussian Short U
0x045f	0x3f	;Cyrillic Small Letter Dzhe
0x0490	0xbd	;Cyrillic Capital Letter Ukrainian Kge (With Upturn)
0x0491	0xad	;Cyrillic Small Letter Ukrainian Kge (With Upturn)
0x2013	0x2d	;En Dash
0x2014	0x2d	;Em Dash
0x2018	0x27	;Left Single Quotation Mark
0x2019	0x27	;Right Single Quotation Mark
0x201a	0x27	;Single Low-9 Quotation Mark
0x201c	0x22	;Left Double Quotation Mark
0x201d	0x22	;Right Double Quotation Mark
0x201e	0x22	;Double Low-9 Quotation Mark
0x2020	0x8a	;Dagger
0x2021	0xbc	;Double Dagger
0x2022	0x07	;Bullet
0x2026	0x3a	;Horizontal Ellipsis
0x2030	0x25	;Per Mille Sign
0x2039	0x3c	;Single Left-Pointing Angle Quotation Mark
0x203a	0x3e	;Single Right-Pointing Angle Quotation Mark
0x203c	0x13	;Double Exclamation Mark
0x2122	0x54	;Trade Mark Sign
0x2190	0x1b	;Leftwards Arrow
0x2191	0x18	;Upwards Arrow
0x2192	0x1a	;Rightwards Arrow
0x2193	0x19	;Downwards Arrow
0x2194	0x1d	;Left Right Arrow
0x2195	0x12	;Up Down Arrow
0x21a8	0x17	;Up Down Arrow With Base
0x2219	0x95	;Bullet Operator
0x221a	0x96	;Square Root
0x221f	0x1c	;Right Angle
0x2248	0x97	;Almost Equal To
0x2264	0x98	;Less Than Or Equal To
0x2265	0x99	;Greater Than Or Equal To
0x2302	0x7f	;House
0x2320	0x93	;Top Half Integral
0x2321	0x9b	;Bottom Half Integral
0x2500	0x80	;Box Drawings Light Horizontal
0x2502	0x81	;Box Drawings Light Vertical
0x250c	0x82	;Box Drawings Light Down And Right
0x2510	0x83	;Box Drawings Light Down And Left
0x2514	0x84	;Box Drawings Light Up And Right
0x2518	0x85	;Box Drawings Light Up And Left
0x251c	0x86	;Box Drawings Light Vertical And Right
0x2524	0x87	;Box Drawings Light Vertical And Left
0x252c	0x88	;Box Drawings Light Down And Horizontal
0x2534	0x89	;Box Drawings Light Up And Horizontal
0x253c	0x8a	;Box Drawings Light Vertical And Horizontal
0x2550	0xa0	;Box Drawings Double Horizontal
0x2551	0xa1	;Box Drawings Double Vertical
0x2552	0xa2	;Box Drawings Down Single And Right Double
0x2554	0xa5	;Box Drawings Double Down And Right
0x2557	0xa8	;Box Drawings Double Down And Left
0x2558	0xa9	;Box Drawings Up Single And Right Double
0x2559	0xaa	;Box Drawings Up Double And Right Single
0x255a	0xab	;Box Drawings Double Up And Right
0x255b	0xac	;Box Drawings Up Single And Left Double
0x255e	0xaf	;Box Drawings Vertical Single And Right Double
0x255f	0xb0	;Box Drawings Vertical Double And Right Single
0x2560	0xb1	;Box Drawings Double Vertical And Right
0x2561	0xb2	;Box Drawings Vertical Single And Left Double
0x2563	0xb5	;Box Drawings Double Vertical And Left
0x2566	0xb8	;Box Drawings Double Down And Horizontal
0x2567	0xb9	;Box Drawings Up Single And Horizontal Double
0x2568	0xba	;Box Drawings Up Double And Horizontal Single
0x2569	0xbb	;Box Drawings Double Up And Horizontal
0x256a	0xbc	;Box Drawings Vertical Single And Horizontal Double
0x2580	0x8b	;Upper Half Block
0x2584	0x8c	;Lower Half Block
0x2588	0x8d	;Full Block
0x258c	0x8e	;Left Half Block
0x2590	0x8f	;Right Half Block
0x2591	0x90	;Light Shade
0x2592	0x91	;Medium Shade
0x2593	0x92	;Dark Shade
0x25a0	0x94	;Black Square
0x25ac	0x16	;Black Rectangle
0x25b2	0x1e	;Black Up-Pointing Triangle
0x25ba	0x10	;Black Right-Pointing Pointer
0x25bc	0x1f	;Black Down-Pointing Triangle
0x25c4	0x11	;Black Left-Pointing Pointer
0x25cb	0x09	;White Circle
0x25d8	0x08	;Inverse Bullet
0x25d9	0x0a	;Inverse White Circle
0x263a	0x01	;White Smiling Face
0x263b	0x02	;Black Smiling Face
0x263c	0x0f	;White Sun With Rays
0x2640	0x0c	;Female Sign
0x2642	0x0b	;Male Sign
0x2660	0x06	;Black Spade Suit
0x2663	0x05	;Black Club Suit
0x2665	0x03	;Black Heart Suit
0x2666	0x04	;Black Diamond Suit
0x266a	0x0d	;Eighth Note
0x266b	0x0e	;Beamed Eighth Notes

ENDCODEPAGE

