CODEPAGE 720            ;Arabic - Transparent ASMO
0xfee3  0xea    ;Glyph For Initial Arabic Meem
0xfee4  0xea    ;Glyph For Medial Arabic Meem
0xfee5  0xeb    ;Glyph For Isolate Arabic Noon
0xfee6  0xeb    ;Glyph For Final Arabic Noon
0xfee7  0xeb    ;Glyph For Initial Arabic Noon
0xfee8  0xeb    ;Glyph For Medial Arabic Noon
0xfee9  0xec    ;Glyph For Isolate Arabic Ha
0xfeea  0xec    ;Glyph For Final Arabic Ha
0xfeeb  0xec    ;Glyph For Initial Arabic Ha
0xfeec  0xec    ;Glyph For Medial Arabic Ha
0xfeed  0xed    ;Glyph For Isolate Arabic Waw
0xfeee  0xed    ;Glyph For Final Arabic Waw
0xfeef  0xee    ;Glyph For Isolate Arabic Alef Maqsurah
0xfef0  0xee    ;Glyph For Final Arabic Alef Maqsurah
0xfef1  0xef    ;Glyph For Isolate Arabic Ya
0xfef2  0xef    ;Glyph For Final Arabic Ya
0xfef3  0xef    ;Glyph For Initial Arabic Ya
0xfef4  0xef    ;Glyph For Medial Arabic Ya
0xff01  0x21    ;Fullwidth Exclamation Mark
0xff02  0x22    ;Fullwidth Quotation Mark
0xff03  0x23    ;Fullwidth Number Sign
0xff04  0x24    ;Fullwidth Dollar Sign
0xff05  0x25    ;Fullwidth Percent Sign
0xff06  0x26    ;Fullwidth Ampersand
0xff07  0x27    ;Fullwidth Apostrophe
0xff08  0x28    ;Fullwidth Left Parenthesis
0xff09  0x29    ;Fullwidth Right Parenthesis
0xff0a  0x2a    ;Fullwidth Asterisk
0xff0b  0x2b    ;Fullwidth Plus Sign
0xff0c  0x2c    ;Fullwidth Comma
0xff0d  0x2d    ;Fullwidth Hyphen-Minus
0xff0e  0x2e    ;Fullwidth Full Stop
0xff0f  0x2f    ;Fullwidth Solidus
0xff10  0x30    ;Fullwidth Digit Zero
0xff11  0x31    ;Fullwidth Digit One
0xff12  0x32    ;Fullwidth Digit Two
0xff13  0x33    ;Fullwidth Digit Three
0xff14  0x34    ;Fullwidth Digit Four
0xff15  0x35    ;Fullwidth Digit Five
0xff16  0x36    ;Fullwidth Digit Six
0xff17  0x37    ;Fullwidth Digit Seven
0xff18  0x38    ;Fullwidth Digit Eight
0xff19  0x39    ;Fullwidth Digit Nine
0xff1a  0x3a    ;Fullwidth Colon
0xff1b  0x3b    ;Fullwidth Semicolon
0xff1c  0x3c    ;Fullwidth Less-Than Sign
0xff1d  0x3d    ;Fullwidth Equals Sign
0xff1e  0x3e    ;Fullwidth Greater-Than Sign
0xff1f  0x3f    ;Fullwidth Question Mark
0xff20  0x40    ;Fullwidth Commercial At
0xff21  0x41    ;Fullwidth Latin Capital Letter A
0xff22  0x42    ;Fullwidth Latin Capital Letter B
0xff23  0x43    ;Fullwidth Latin Capital Letter C
0xff24  0x44    ;Fullwidth Latin Capital Letter D
0xff25  0x45    ;Fullwidth Latin Capital Letter E
0xff26  0x46    ;Fullwidth Latin Capital Letter F
0xff27  0x47    ;Fullwidth Latin Capital Letter G
0xff28  0x48    ;Fullwidth Latin Capital Letter H
0xff29  0x49    ;Fullwidth Latin Capital Letter I
0xff2a  0x4a    ;Fullwidth Latin Capital Letter J
0xff2b  0x4b    ;Fullwidth Latin Capital Letter K
0xff2c  0x4c    ;Fullwidth Latin Capital Letter L
0xff2d  0x4d    ;Fullwidth Latin Capital Letter M
0xff2e  0x4e    ;Fullwidth Latin Capital Letter N
0xff2f  0x4f    ;Fullwidth Latin Capital Letter O
0xff30  0x50    ;Fullwidth Latin Capital Letter P
0xff31  0x51    ;Fullwidth Latin Capital Letter Q
0xff32  0x52    ;Fullwidth Latin Capital Letter R
0xff33  0x53    ;Fullwidth Latin Capital Letter S
0xff34  0x54    ;Fullwidth Latin Capital Letter T
0xff35  0x55    ;Fullwidth Latin Capital Letter U
0xff36  0x56    ;Fullwidth Latin Capital Letter V
0xff37  0x57    ;Fullwidth Latin Capital Letter W
0xff38  0x58    ;Fullwidth Latin Capital Letter X
0xff39  0x59    ;Fullwidth Latin Capital Letter Y
0xff3a  0x5a    ;Fullwidth Latin Capital Letter Z
0xff3b  0x5b    ;Fullwidth Left Square Bracket
0xff3c  0x5c    ;Fullwidth Reverse Solidus
0xff3d  0x5d    ;Fullwidth Right Square Bracket
0xff3e  0x5e    ;Fullwidth Circumflex Accent
0xff3f  0x5f    ;Fullwidth Low Line
0xff40  0x60    ;Fullwidth Grave Accent
0xff41  0x61    ;Fullwidth Latin Small Letter A
0xff42  0x62    ;Fullwidth Latin Small Letter B
0xff43  0x63    ;Fullwidth Latin Small Letter C
0xff44  0x64    ;Fullwidth Latin Small Letter D
0xff45  0x65    ;Fullwidth Latin Small Letter E
0xff46  0x66    ;Fullwidth Latin Small Letter F
0xff47  0x67    ;Fullwidth Latin Small Letter G
0xff48  0x68    ;Fullwidth Latin Small Letter H
0xff49  0x69    ;Fullwidth Latin Small Letter I
0xff4a  0x6a    ;Fullwidth Latin Small Letter J
0xff4b  0x6b    ;Fullwidth Latin Small Letter K
0xff4c  0x6c    ;Fullwidth Latin Small Letter L
0xff4d  0x6d    ;Fullwidth Latin Small Letter M
0xff4e  0x6e    ;Fullwidth Latin Small Letter N
0xff4f  0x6f    ;Fullwidth Latin Small Letter O
0xff50  0x70    ;Fullwidth Latin Small Letter P
0xff51  0x71    ;Fullwidth Latin Small Letter Q
0xff52  0x72    ;Fullwidth Latin Small Letter R
0xff53  0x73    ;Fullwidth Latin Small Letter S
0xff54  0x74    ;Fullwidth Latin Small Letter T
0xff55  0x75    ;Fullwidth Latin Small Letter U
0xff56  0x76    ;Fullwidth Latin Small Letter V
0xff57  0x77    ;Fullwidth Latin Small Letter W
0xff58  0x78    ;Fullwidth Latin Small Letter X
0xff59  0x79    ;Fullwidth Latin Small Letter Y
0xff5a  0x7a    ;Fullwidth Latin Small Letter Z
0xff5b  0x7b    ;Fullwidth Left Curly Bracket
0xff5c  0x7c    ;Fullwidth Vertical Line
0xff5d  0x7d    ;Fullwidth Right Curly Bracket
0xff5e  0x7e    ;Fullwidth Tilde

ENDCODEPAGE
