# Fractional UCA Table, generated from standard UCA
# 2006-06-10, 20:18:04 GMT [MD]
# VERSION: UCA=5.0.0, UCD=5.0.0
# Copyright (c) 1991-2006 Unicode, Inc.

# Generated processed version, as described in ICU design document.
# NOTES
#  - Bugs in UCA data are NOT FIXED, except for the following problems:
#    - canonical equivalents are decomposed directly (some beta UCA are wrong).
#    - overlapping variable ranges are fixed.
#  - Format is as follows:
#      <codepoint> (' ' <codepoint>)* ';' ('L' | 'S') ';' <fractionalCE>+ ' # ' <UCA_CE> '# ' <name> 
#    - zero weights are not printed
#    - S: contains at least one lowercase or SMALL kana
#    - L: otherwise
#    - Different primaries are separated by a blank line.
# WARNING
#  - Differs from previous version in that MAX value was introduced at 1F.
#    All tertiary values are shifted down by 1, filling the gap at 7!

[UCA version = 5.0.0]

0000; [,,]
24B7; [2B, 05, 97]
1D47; [2B, 05, 27]
1D2E; [2B, 05, B9]
1E03; [2B, 05, 05][, A3, 05]
1E02; [2B, 05, 8F][, A3, 05]
1E05; [2B, 05, 05][, D0 4D, 05]
1E04; [2B, 05, 8F][, D0 4D, 05]
1E07; [2B, 05, 05][, D1 11, 05]
1E06; [2B, 05, 8F][, D1 11, 05]
3374; [2B, 05, 37][29, 05, 37][4B, 05, 3D]
33C3; [2B, 05, B9][49, 05, 37]

0299; [2C 60, 05, 05]

0180; [2C 62, 05, 05]
0243; [2C 62, 05, 8F]

1D2F; [2C 64, 05, 05]

1D03; [2C 66, 05, 05]

1D6C; [2C 68, 05, 05]

1D80; [2C 6A, 05, 05]

0253; [2C 6C, 05, 05]
0181; [2C 6C, 05, 8F]

0183; [2C 6E, 05, 05]
0182; [2C 6E, 05, 8F]

0063; [2D, 05, 05]
FF43; [2D, 05, 07]
0368; [2D, 05, 09]
217D; [2D, 05, 09]
D835 DC1C; [2D, 05, 0B]
D835 DC50; [2D, 05, 0B]
D835 DC84; [2D, 05, 0B]
D835 DCB8; [2D, 05, 0B]
D835 DCEC; [2D, 05, 0B]
D835 DD20; [2D, 05, 0B]
D835 DD54; [2D, 05, 0B]
D835 DD88; [2D, 05, 0B]
D835 DDBC; [2D, 05, 0B]
D835 DDF0; [2D, 05, 0B]
D835 DE24; [2D, 05, 0B]
D835 DE58; [2D, 05, 0B]
D835 DE8C; [2D, 05, 0B]
24D2; [2D, 05, 0D]
0043; [2D, 05, 8F]
FF23; [2D, 05, 91]
216D; [2D, 05, 93]
2102; [2D, 05, 95]
212D; [2D, 05, 95]
D835 DC02; [2D, 05, 95]
D835 DC36; [2D, 05, 95]
D835 DC6A; [2D, 05, 95]
D835 DC9E; [2D, 05, 95]
D835 DCD2; [2D, 05, 95]
D835 DD6E; [2D, 05, 95]
D835 DDA2; [2D, 05, 95]
D835 DDD6; [2D, 05, 95]
D835 DE0A; [2D, 05, 95]
D835 DE3E; [2D, 05, 95]
D835 DE72; [2D, 05, 95]
24B8; [2D, 05, 97]
1D9C; [2D, 05, 27]
0107; [2D, 05, 05][, 8D, 05]
0106; [2D, 05, 8F][, 8D, 05]
0109; [2D, 05, 05][, 93, 05]
0108; [2D, 05, 8F][, 93, 05]
010D; [2D, 05, 05][, 97, 05]
010C; [2D, 05, 8F][, 97, 05]
010B; [2D, 05, 05][, A3, 05]
010A; [2D, 05, 8F][, A3, 05]
00E7; [2D, 05, 05][, A7, 05]
00C7; [2D, 05, 8F][, A7, 05]
1E09; [2D, 05, 05][, A7, 05][, 8D, 05]
1E08; [2D, 05, 8F][, A7, 05][, 8D, 05]
2105; [2D, 05, 09][09 55, 05, 09][45, 05, 3D]
2106; [2D, 05, 09][09 55, 05, 09][51, 05, 3D]
33C6; [2D, 05, B9][0C F7, 05, 37][3D, 05, 3D][35, 05, 3D]
3388; [2D, 05, 37][29, 05, 37][3F, 05, 3D]
33C4; [2D, 05, 37][2D, 05, 37]
33C5; [2D, 05, 37][2F, 05, 37]
339D; [2D, 05, 37][41, 05, 37]
33A0; [2D, 05, 37][41, 05, 37][26 7E, 05, 3D]
33A4; [2D, 05, 37][41, 05, 37][26 80, 05, 3D]
33C7; [2D, 05, B9][45, 05, 37][08 1D, 05, 3D]

1D04; [2E 60, 05, 05]

023C; [2E 62, 05, 05]
023B; [2E 62, 05, 8F]

0188; [2E 64, 05, 05]
0187; [2E 64, 05, 8F]

0255; [2E 66, 05, 05]
1D9D; [2E 66, 05, 27]

2184; [2E 68, 05, 05]
2183; [2E 68, 05, 8F]

0064; [2F, 05, 05]
FF44; [2F, 05, 07]
0369; [2F, 05, 09]
217E; [2F, 05, 09]
2146; [2F, 05, 0B]
D835 DC1D; [2F, 05, 0B]
D835 DC51; [2F, 05, 0B]
D835 DC85; [2F, 05, 0B]
D835 DCB9; [2F, 05, 0B]
D835 DCED; [2F, 05, 0B]
D835 DD21; [2F, 05, 0B]
D835 DD55; [2F, 05, 0B]
D835 DD89; [2F, 05, 0B]
D835 DDBD; [2F, 05, 0B]
D835 DDF1; [2F, 05, 0B]
D835 DE25; [2F, 05, 0B]
D835 DE59; [2F, 05, 0B]
D835 DE8D; [2F, 05, 0B]
24D3; [2F, 05, 0D]
0044; [2F, 05, 8F]
FF24; [2F, 05, 91]
216E; [2F, 05, 93]
2145; [2F, 05, 95]
D835 DC03; [2F, 05, 95]
D835 DC37; [2F, 05, 95]
D835 DC6B; [2F, 05, 95]
D835 DC9F; [2F, 05, 95]
D835 DCD3; [2F, 05, 95]
D835 DD07; [2F, 05, 95]
D835 DD3B; [2F, 05, 95]
D835 DD6F; [2F, 05, 95]
D835 DDA3; [2F, 05, 95]
D835 DDD7; [2F, 05, 95]
D835 DE0B; [2F, 05, 95]
D835 DE3F; [2F, 05, 95]
D835 DE73; [2F, 05, 95]
24B9; [2F, 05, 97]
1D48; [2F, 05, 27]
1D30; [2F, 05, B9]
010F; [2F, 05, 05][, 97, 05]
010E; [2F, 05, 8F][, 97, 05]
1E0B; [2F, 05, 05][, A3, 05]
1E0A; [2F, 05, 8F][, A3, 05]
1E11; [2F, 05, 05][, A7, 05]
1E10; [2F, 05, 8F][, A7, 05]
1E0D; [2F, 05, 05][, D0 4D, 05]
1E0C; [2F, 05, 8F][, D0 4D, 05]
1E13; [2F, 05, 05][, D0 CD, 05]
1E12; [2F, 05, 8F][, D0 CD, 05]
1E0F; [2F, 05, 05][, D1 11, 05]
1E0E; [2F, 05, 8F][, D1 11, 05]
0111; [2F, 05, 05][, D1 41, 05]
0110; [2F, 05, 8F][, D1 41, 05]
00F0; [2F, 05, 09][, E4 4D, 09]
00D0; [2F, 05, 93][, E4 4D, 09]
1D9E; [2F, 05, 27][, E4 4D, 27]
3372; [2F, 05, 37][29, 05, 37]
0238; [2F, 05, 09][2B, 05, 09]
33C8; [2F, 05, 37][2B, 05, B9]
3397; [2F, 05, 37][3F, 05, 37]
3377; [2F, 05, 37][41, 05, 37]
3378; [2F, 05, 37][41, 05, 37][26 7E, 05, 3D]
3379; [2F, 05, 37][41, 05, 37][26 80, 05, 3D]
01F3; [2F, 05, 09][5B, 05, 09]
02A3; [2F, 05, 09][5B, 05, 09]
01F2; [2F, 05, 93][5B, 05, 09]
01F1; [2F, 05, 93][5B, 05, 93]
01C6; [2F, 05, 09][5B, 05, 09][, 97, 3D]
01C5; [2F, 05, 93][5B, 05, 09][, 97, 3D]
01C4; [2F, 05, 93][5B, 05, 93][, 97, 3D]
02A5; [2F, 05, 09][5C 6C, 05, 09]
02A4; [2F, 05, 09][5C 72, 05, 09]

1D05; [30 60, 05, 05]

1D06; [30 62, 05, 05]

1D6D; [30 64, 05, 05]

1D81; [30 66, 05, 05]

0256; [30 68, 05, 05]
0189; [30 68, 05, 8F]

0257; [30 6A, 05, 05]
018A; [30 6A, 05, 8F]

1D91; [30 6C, 05, 05]

018C; [30 6E, 05, 05]
018B; [30 6E, 05, 8F]

0221; [30 70, 05, 05]

0065; [31, 05, 05]
FF45; [31, 05, 07]
0364; [31, 05, 09]
212F; [31, 05, 0B]
2147; [31, 05, 0B]
D835 DC1E; [31, 05, 0B]
D835 DC52; [31, 05, 0B]
D835 DC86; [31, 05, 0B]
D835 DCEE; [31, 05, 0B]
D835 DD22; [31, 05, 0B]
D835 DD56; [31, 05, 0B]
D835 DD8A; [31, 05, 0B]
D835 DDBE; [31, 05, 0B]
D835 DDF2; [31, 05, 0B]
D835 DE26; [31, 05, 0B]
D835 DE5A; [31, 05, 0B]
D835 DE8E; [31, 05, 0B]
24D4; [31, 05, 0D]
0045; [31, 05, 8F]
FF25; [31, 05, 91]
2130; [31, 05, 95]
D835 DC04; [31, 05, 95]
D835 DC38; [31, 05, 95]
D835 DC6C; [31, 05, 95]
D835 DCD4; [31, 05, 95]
D835 DD08; [31, 05, 95]
D835 DD3C; [31, 05, 95]
D835 DD70; [31, 05, 95]
D835 DDA4; [31, 05, 95]
D835 DDD8; [31, 05, 95]
D835 DE0C; [31, 05, 95]
D835 DE40; [31, 05, 95]
D835 DE74; [31, 05, 95]
24BA; [31, 05, 97]
1D49; [31, 05, 27]
2091; [31, 05, 29]
1D31; [31, 05, B9]
00E9; [31, 05, 05][, 8D, 05]
00C9; [31, 05, 8F][, 8D, 05]
00E8; [31, 05, 05][, 8F, 05]
00C8; [31, 05, 8F][, 8F, 05]
0115; [31, 05, 05][, 91, 05]
0114; [31, 05, 8F][, 91, 05]
00EA; [31, 05, 05][, 93, 05]
00CA; [31, 05, 8F][, 93, 05]
1EBF; [31, 05, 05][, 93, 05][, 8D, 05]
1EBE; [31, 05, 8F][, 93, 05][, 8D, 05]
1EC1; [31, 05, 05][, 93, 05][, 8F, 05]
1EC0; [31, 05, 8F][, 93, 05][, 8F, 05]
1EC5; [31, 05, 05][, 93, 05][, A1, 05]
1EC4; [31, 05, 8F][, 93, 05][, A1, 05]
1EC3; [31, 05, 05][, 93, 05][, AF, 05]
1EC2; [31, 05, 8F][, 93, 05][, AF, 05]
011B; [31, 05, 05][, 97, 05]
011A; [31, 05, 8F][, 97, 05]
00EB; [31, 05, 05][, 9D, 05]
00CB; [31, 05, 8F][, 9D, 05]
1EBD; [31, 05, 05][, A1, 05]
1EBC; [31, 05, 8F][, A1, 05]
0117; [31, 05, 05][, A3, 05]
0116; [31, 05, 8F][, A3, 05]
0229; [31, 05, 05][, A7, 05]
0228; [31, 05, 8F][, A7, 05]
1E1D; [31, 05, 05][, A7, 05][, 91, 05]
1E1C; [31, 05, 8F][, A7, 05][, 91, 05]
0119; [31, 05, 05][, A9, 05]
0118; [31, 05, 8F][, A9, 05]
0113; [31, 05, 05][, AB, 05]
0112; [31, 05, 8F][, AB, 05]
1E17; [31, 05, 05][, AB, 05][, 8D, 05]
1E16; [31, 05, 8F][, AB, 05][, 8D, 05]
1E15; [31, 05, 05][, AB, 05][, 8F, 05]
1E14; [31, 05, 8F][, AB, 05][, 8F, 05]
1EBB; [31, 05, 05][, AF, 05]
1EBA; [31, 05, 8F][, AF, 05]
0205; [31, 05, 05][, B5, 05]
0204; [31, 05, 8F][, B5, 05]
0207; [31, 05, 05][, B9, 05]
0206; [31, 05, 8F][, B9, 05]
1EB9; [31, 05, 05][, D0 4D, 05]
1EB8; [31, 05, 8F][, D0 4D, 05]
1EC7; [31, 05, 05][, D0 4D, 05][, 93, 05]
1EC6; [31, 05, 8F][, D0 4D, 05][, 93, 05]
1E19; [31, 05, 05][, D0 CD, 05]
1E18; [31, 05, 8F][, D0 CD, 05]
1E1B; [31, 05, 05][, D0 FD, 05]
1E1A; [31, 05, 8F][, D0 FD, 05]
32CD; [31, 05, 37][4B, 05, 37][35, 05, 3D]
32CE; [31, 05, 37][53, 05, B9]

1D07; [32 60, 05, 05]

0247; [32 62, 05, 05]
0246; [32 62, 05, 8F]

1D92; [32 64, 05, 05]

01DD; [32 66, 05, 05]
018E; [32 66, 05, 8F]
1D32; [32 66, 05, B9]

0259; [32 68, 05, 05]
018F; [32 68, 05, 8F]
1D4A; [32 68, 05, 27]
2094; [32 68, 05, 29]

1D95; [32 6A, 05, 05]

025B; [32 6C, 05, 05]
0190; [32 6C, 05, 8F]
2107; [32 6C, 05, 93]
1D4B; [32 6C, 05, 27]

1D93; [32 6E, 05, 05]

0258; [32 70, 05, 05]

025A; [32 72, 05, 05]

025C; [32 74, 05, 05]
1D9F; [32 74, 05, 27]

1D94; [32 76, 05, 05]

1D08; [32 78, 05, 05]
1D4C; [32 78, 05, 27]

025D; [32 7A, 05, 05]

025E; [32 7C, 05, 05]

029A; [32 7E, 05, 05]

0264; [32 80, 05, 05]

0066; [33, 05, 05]
FF46; [33, 05, 07]
D835 DC1F; [33, 05, 0B]
D835 DC53; [33, 05, 0B]
D835 DC87; [33, 05, 0B]
D835 DCBB; [33, 05, 0B]
D835 DCEF; [33, 05, 0B]
D835 DD23; [33, 05, 0B]
D835 DD57; [33, 05, 0B]
D835 DD8B; [33, 05, 0B]
D835 DDBF; [33, 05, 0B]
D835 DDF3; [33, 05, 0B]
D835 DE27; [33, 05, 0B]
D835 DE5B; [33, 05, 0B]
D835 DE8F; [33, 05, 0B]
24D5; [33, 05, 0D]
0046; [33, 05, 8F]
FF26; [33, 05, 91]
2131; [33, 05, 95]
D835 DC05; [33, 05, 95]
D835 DC39; [33, 05, 95]
D835 DC6D; [33, 05, 95]
D835 DCD5; [33, 05, 95]
D835 DD09; [33, 05, 95]
D835 DD3D; [33, 05, 95]
D835 DD71; [33, 05, 95]
D835 DDA5; [33, 05, 95]
D835 DDD9; [33, 05, 95]
D835 DE0D; [33, 05, 95]
D835 DE41; [33, 05, 95]
D835 DE75; [33, 05, 95]
24BB; [33, 05, 97]
1DA0; [33, 05, 27]
1E1F; [33, 05, 05][, A3, 05]
1E1E; [33, 05, 8F][, A3, 05]
213B; [33, 05, 93][29, 05, 93][57, 05, 3D]
FB00; [33, 05, 09][33, 05, 09]
FB03; [33, 05, 09][33, 05, 09][39, 05, 3D]
FB04; [33, 05, 09][33, 05, 09][3F, 05, 3D]
FB01; [33, 05, 09][39, 05, 09]
FB02; [33, 05, 09][3F, 05, 09]
3399; [33, 05, 37][41, 05, 37]
02A9; [33, 05, 09][44 72, 05, 09]

1D6E; [34 60, 05, 05]

1D82; [34 62, 05, 05]

0192; [34 64, 05, 05]
0191; [34 64, 05, 8F]

214E; [34 66, 05, 05]
2132; [34 66, 05, 8F]

0067; [35, 05, 05]
FF47; [35, 05, 07]
210A; [35, 05, 0B]
D835 DC20; [35, 05, 0B]
D835 DC54; [35, 05, 0B]
D835 DC88; [35, 05, 0B]
D835 DCF0; [35, 05, 0B]
D835 DD24; [35, 05, 0B]
D835 DD58; [35, 05, 0B]
D835 DD8C; [35, 05, 0B]
D835 DDC0; [35, 05, 0B]
D835 DDF4; [35, 05, 0B]
D835 DE28; [35, 05, 0B]
D835 DE5C; [35, 05, 0B]
D835 DE90; [35, 05, 0B]
24D6; [35, 05, 0D]
0047; [35, 05, 8F]
FF27; [35, 05, 91]
D835 DC06; [35, 05, 95]
D835 DC3A; [35, 05, 95]
D835 DC6E; [35, 05, 95]
D835 DCA2; [35, 05, 95]
D835 DCD6; [35, 05, 95]
D835 DD0A; [35, 05, 95]
D835 DD3E; [35, 05, 95]
D835 DD72; [35, 05, 95]
D835 DDA6; [35, 05, 95]
D835 DDDA; [35, 05, 95]
D835 DE0E; [35, 05, 95]
D835 DE42; [35, 05, 95]
D835 DE76; [35, 05, 95]
24BC; [35, 05, 97]
1D4D; [35, 05, 27]
1D33; [35, 05, B9]
01F5; [35, 05, 05][, 8D, 05]
01F4; [35, 05, 8F][, 8D, 05]
011F; [35, 05, 05][, 91, 05]
011E; [35, 05, 8F][, 91, 05]
011D; [35, 05, 05][, 93, 05]
011C; [35, 05, 8F][, 93, 05]
01E7; [35, 05, 05][, 97, 05]
01E6; [35, 05, 8F][, 97, 05]
0121; [35, 05, 05][, A3, 05]
0120; [35, 05, 8F][, A3, 05]
0123; [35, 05, 05][, A7, 05]
0122; [35, 05, 8F][, A7, 05]
1E21; [35, 05, 05][, AB, 05]
1E20; [35, 05, 8F][, AB, 05]
33FF; [35, 05, 37][29, 05, 37][3F, 05, 3D]
3387; [35, 05, B9][2B, 05, B9]
3393; [35, 05, B9][37, 05, B9][5B, 05, 3D]
33AC; [35, 05, B9][47, 05, B9][29, 05, 3D]
33C9; [35, 05, B9][59, 05, 37]

0261; [36 60, 05, 05]
1DA2; [36 60, 05, 27]

1D79; [36 62, 05, 05]

0262; [36 64, 05, 05]

01E5; [36 66, 05, 05]
01E4; [36 66, 05, 8F]

1D83; [36 68, 05, 05]

0260; [36 6A, 05, 05]
0193; [36 6A, 05, 8F]

029B; [36 6C, 05, 05]

1D77; [36 6E, 05, 05]

0263; [36 70, 05, 05]
0194; [36 70, 05, 8F]
02E0; [36 70, 05, 27]

01A3; [36 72, 05, 05]
01A2; [36 72, 05, 8F]

0068; [37, 05, 05]
FF48; [37, 05, 07]
036A; [37, 05, 09]
210E; [37, 05, 0B]
D835 DC21; [37, 05, 0B]
D835 DC89; [37, 05, 0B]
D835 DCBD; [37, 05, 0B]
D835 DCF1; [37, 05, 0B]
D835 DD25; [37, 05, 0B]
D835 DD59; [37, 05, 0B]
D835 DD8D; [37, 05, 0B]
D835 DDC1; [37, 05, 0B]
D835 DDF5; [37, 05, 0B]
D835 DE29; [37, 05, 0B]
D835 DE5D; [37, 05, 0B]
D835 DE91; [37, 05, 0B]
24D7; [37, 05, 0D]
0048; [37, 05, 8F]
FF28; [37, 05, 91]
210B; [37, 05, 95]
210C; [37, 05, 95]
210D; [37, 05, 95]
D835 DC07; [37, 05, 95]
D835 DC3B; [37, 05, 95]
D835 DC6F; [37, 05, 95]
D835 DCD7; [37, 05, 95]
D835 DD73; [37, 05, 95]
D835 DDA7; [37, 05, 95]
D835 DDDB; [37, 05, 95]
D835 DE0F; [37, 05, 95]
D835 DE43; [37, 05, 95]
D835 DE77; [37, 05, 95]
24BD; [37, 05, 97]
02B0; [37, 05, 27]
1D34; [37, 05, B9]
0125; [37, 05, 05][, 93, 05]
0124; [37, 05, 8F][, 93, 05]
021F; [37, 05, 05][, 97, 05]
021E; [37, 05, 8F][, 97, 05]
1E27; [37, 05, 05][, 9D, 05]
1E26; [37, 05, 8F][, 9D, 05]
1E23; [37, 05, 05][, A3, 05]
1E22; [37, 05, 8F][, A3, 05]
1E29; [37, 05, 05][, A7, 05]
1E28; [37, 05, 8F][, A7, 05]
1E25; [37, 05, 05][, D0 4D, 05]
1E24; [37, 05, 8F][, D0 4D, 05]
1E2B; [37, 05, 05][, D0 DD, 05]
1E2A; [37, 05, 8F][, D0 DD, 05]
1E96; [37, 05, 05][, D1 11, 05]
0127; [37, 05, 05][, D1 41, 05]
210F; [37, 05, 05][, D1 41, 05]
0126; [37, 05, 8F][, D1 41, 05]
33CA; [37, 05, 37][29, 05, 37]
32CC; [37, 05, B9][35, 05, 37]
33CB; [37, 05, B9][47, 05, B9]
3371; [37, 05, 37][47, 05, B9][29, 05, 3D]
3390; [37, 05, B9][5B, 05, 37]

029C; [38 60, 05, 05]

0195; [38 62, 05, 05]
01F6; [38 62, 05, 8F]

0266; [38 64, 05, 05]
02B1; [38 64, 05, 27]

2C68; [38 66, 05, 05]
2C67; [38 66, 05, 8F]

2C76; [38 68, 05, 05]
2C75; [38 68, 05, 8F]

0267; [38 6A, 05, 05]

02BB; [38 6C, 05, 05]

02BD; [38 6E, 05, 05]

0069; [39, 05, 05]
FF49; [39, 05, 07]
0365; [39, 05, 09]
2170; [39, 05, 09]
2139; [39, 05, 0B]
2148; [39, 05, 0B]
D835 DC22; [39, 05, 0B]
D835 DC56; [39, 05, 0B]
D835 DC8A; [39, 05, 0B]
D835 DCBE; [39, 05, 0B]
D835 DCF2; [39, 05, 0B]
D835 DD26; [39, 05, 0B]
D835 DD5A; [39, 05, 0B]
D835 DD8E; [39, 05, 0B]
D835 DDC2; [39, 05, 0B]
D835 DDF6; [39, 05, 0B]
D835 DE2A; [39, 05, 0B]
D835 DE5E; [39, 05, 0B]
D835 DE92; [39, 05, 0B]
24D8; [39, 05, 0D]
0049; [39, 05, 8F]
FF29; [39, 05, 91]
2160; [39, 05, 93]
2110; [39, 05, 95]
2111; [39, 05, 95]
D835 DC08; [39, 05, 95]
D835 DC3C; [39, 05, 95]
D835 DC70; [39, 05, 95]
D835 DCD8; [39, 05, 95]
D835 DD40; [39, 05, 95]
D835 DD74; [39, 05, 95]
D835 DDA8; [39, 05, 95]
D835 DDDC; [39, 05, 95]
D835 DE10; [39, 05, 95]
D835 DE44; [39, 05, 95]
D835 DE78; [39, 05, 95]
24BE; [39, 05, 97]
2071; [39, 05, 27]
1D62; [39, 05, 29]
1D35; [39, 05, B9]
00ED; [39, 05, 05][, 8D, 05]
00CD; [39, 05, 8F][, 8D, 05]
00EC; [39, 05, 05][, 8F, 05]
00CC; [39, 05, 8F][, 8F, 05]
012D; [39, 05, 05][, 91, 05]
012C; [39, 05, 8F][, 91, 05]
00EE; [39, 05, 05][, 93, 05]
00CE; [39, 05, 8F][, 93, 05]
01D0; [39, 05, 05][, 97, 05]
01CF; [39, 05, 8F][, 97, 05]
00EF; [39, 05, 05][, 9D, 05]
00CF; [39, 05, 8F][, 9D, 05]
1E2F; [39, 05, 05][, 9D, 05][, 8D, 05]
1E2E; [39, 05, 8F][, 9D, 05][, 8D, 05]
0129; [39, 05, 05][, A1, 05]
0128; [39, 05, 8F][, A1, 05]
0130; [39, 05, 8F][, A3, 05]
012F; [39, 05, 05][, A9, 05]
012E; [39, 05, 8F][, A9, 05]
012B; [39, 05, 05][, AB, 05]
012A; [39, 05, 8F][, AB, 05]
1EC9; [39, 05, 05][, AF, 05]
1EC8; [39, 05, 8F][, AF, 05]
0209; [39, 05, 05][, B5, 05]
0208; [39, 05, 8F][, B5, 05]
020B; [39, 05, 05][, B9, 05]
020A; [39, 05, 8F][, B9, 05]
1ECB; [39, 05, 05][, D0 4D, 05]
1ECA; [39, 05, 8F][, D0 4D, 05]
1E2D; [39, 05, 05][, D0 FD, 05]
1E2C; [39, 05, 8F][, D0 FD, 05]
2171; [39, 05, 09][39, 05, 09]
2161; [39, 05, 93][39, 05, 93]
2172; [39, 05, 09][39, 05, 09][39, 05, 3D]
2162; [39, 05, 93][39, 05, 93][39, 05, 3D]
0133; [39, 05, 09][3B, 05, 09]
0132; [39, 05, 93][3B, 05, 93]
33CC; [39, 05, 37][43, 05, 37]
337A; [39, 05, B9][51, 05, B9]
2173; [39, 05, 09][53, 05, 09]
2163; [39, 05, 93][53, 05, 93]
2178; [39, 05, 09][57, 05, 09]
2168; [39, 05, 93][57, 05, 93]

0131; [3A 60, 05, 05]
D835 DEA4; [3A 60, 05, 0B]

026A; [3A 62, 05, 05]
1DA6; [3A 62, 05, 27]

1D09; [3A 64, 05, 05]
1D4E; [3A 64, 05, 27]

0268; [3A 66, 05, 05]
0197; [3A 66, 05, 8F]
1DA4; [3A 66, 05, 27]

1D7B; [3A 68, 05, 05]
1DA7; [3A 68, 05, 27]

1D96; [3A 6A, 05, 05]

0269; [3A 6C, 05, 05]
0196; [3A 6C, 05, 8F]
1DA5; [3A 6C, 05, 27]

1D7C; [3A 6E, 05, 05]

006A; [3B, 05, 05]
FF4A; [3B, 05, 07]
2149; [3B, 05, 0B]
D835 DC23; [3B, 05, 0B]
D835 DC57; [3B, 05, 0B]
D835 DC8B; [3B, 05, 0B]
D835 DCBF; [3B, 05, 0B]
D835 DCF3; [3B, 05, 0B]
D835 DD27; [3B, 05, 0B]
D835 DD5B; [3B, 05, 0B]
D835 DD8F; [3B, 05, 0B]
D835 DDC3; [3B, 05, 0B]
D835 DDF7; [3B, 05, 0B]
D835 DE2B; [3B, 05, 0B]
D835 DE5F; [3B, 05, 0B]
D835 DE93; [3B, 05, 0B]
24D9; [3B, 05, 0D]
004A; [3B, 05, 8F]
FF2A; [3B, 05, 91]
D835 DC09; [3B, 05, 95]
D835 DC3D; [3B, 05, 95]
D835 DC71; [3B, 05, 95]
D835 DCA5; [3B, 05, 95]
D835 DCD9; [3B, 05, 95]
D835 DD0D; [3B, 05, 95]
D835 DD41; [3B, 05, 95]
D835 DD75; [3B, 05, 95]
D835 DDA9; [3B, 05, 95]
D835 DDDD; [3B, 05, 95]
D835 DE11; [3B, 05, 95]
D835 DE45; [3B, 05, 95]
D835 DE79; [3B, 05, 95]
24BF; [3B, 05, 97]
02B2; [3B, 05, 27]
1D36; [3B, 05, B9]
0135; [3B, 05, 05][, 93, 05]
0134; [3B, 05, 8F][, 93, 05]
01F0; [3B, 05, 05][, 97, 05]

0237; [3C 60, 05, 05]
D835 DEA5; [3C 60, 05, 0B]

1D0A; [3C 62, 05, 05]

0249; [3C 64, 05, 05]
0248; [3C 64, 05, 8F]

029D; [3C 66, 05, 05]
1DA8; [3C 66, 05, 27]

025F; [3C 68, 05, 05]
1DA1; [3C 68, 05, 27]

0284; [3C 6A, 05, 05]

006B; [3D, 05, 05]
FF4B; [3D, 05, 07]
D835 DC24; [3D, 05, 0B]
D835 DC58; [3D, 05, 0B]
D835 DC8C; [3D, 05, 0B]
D835 DCC0; [3D, 05, 0B]
D835 DCF4; [3D, 05, 0B]
D835 DD28; [3D, 05, 0B]
D835 DD5C; [3D, 05, 0B]
D835 DD90; [3D, 05, 0B]
D835 DDC4; [3D, 05, 0B]
D835 DDF8; [3D, 05, 0B]
D835 DE2C; [3D, 05, 0B]
D835 DE60; [3D, 05, 0B]
D835 DE94; [3D, 05, 0B]
24DA; [3D, 05, 0D]
004B; [3D, 05, 8F]
212A; [3D, 05, 8F]
FF2B; [3D, 05, 91]
D835 DC0A; [3D, 05, 95]
D835 DC3E; [3D, 05, 95]
D835 DC72; [3D, 05, 95]
D835 DCA6; [3D, 05, 95]
D835 DCDA; [3D, 05, 95]
D835 DD0E; [3D, 05, 95]
D835 DD42; [3D, 05, 95]
D835 DD76; [3D, 05, 95]
D835 DDAA; [3D, 05, 95]
D835 DDDE; [3D, 05, 95]
D835 DE12; [3D, 05, 95]
D835 DE46; [3D, 05, 95]
D835 DE7A; [3D, 05, 95]
24C0; [3D, 05, 97]
1D4F; [3D, 05, 27]
1D37; [3D, 05, B9]
1E31; [3D, 05, 05][, 8D, 05]
1E30; [3D, 05, 8F][, 8D, 05]
01E9; [3D, 05, 05][, 97, 05]
01E8; [3D, 05, 8F][, 97, 05]
0137; [3D, 05, 05][, A7, 05]
0136; [3D, 05, 8F][, A7, 05]
1E33; [3D, 05, 05][, D0 4D, 05]
1E32; [3D, 05, 8F][, D0 4D, 05]
1E35; [3D, 05, 05][, D1 11, 05]
1E34; [3D, 05, 8F][, D1 11, 05]
3384; [3D, 05, 37][29, 05, B9]
3385; [3D, 05, B9][2B, 05, B9]
3389; [3D, 05, 37][2D, 05, 37][29, 05, 3D][3F, 05, 3D]
338F; [3D, 05, 37][35, 05, 37]
3391; [3D, 05, 37][37, 05, B9][5B, 05, 3D]
33CD; [3D, 05, B9][3D, 05, B9]
3398; [3D, 05, 37][3F, 05, 37]
339E; [3D, 05, 37][41, 05, 37]
33CE; [3D, 05, B9][41, 05, B9]
33A2; [3D, 05, 37][41, 05, 37][26 7E, 05, 3D]
33A6; [3D, 05, 37][41, 05, 37][26 80, 05, 3D]
33AA; [3D, 05, 37][47, 05, B9][29, 05, 3D]
33CF; [3D, 05, 37][4F, 05, 37]
33B8; [3D, 05, 37][53, 05, B9]
33BE; [3D, 05, 37][55, 05, B9]
33C0; [3D, 05, 37][5D 6C, 05, B9]

1D0B; [3E 60, 05, 05]

1D84; [3E 62, 05, 05]

0199; [3E 64, 05, 05]
