# PropList-5.0.0.txt
# Date: 2006-06-07, 23:22:52 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2006 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

0009..000D    ; White_Space
27D0..27E5    ; Pattern_Syntax
27E6          ; Pattern_Syntax
27E7          ; Pattern_Syntax
27E8          ; Pattern_Syntax
27E9          ; Pattern_Syntax
27EA          ; Pattern_Syntax
27EB          ; Pattern_Syntax
27EC..27EF    ; Pattern_Syntax
27F0..27FF    ; Pattern_Syntax
2800..28FF    ; Pattern_Syntax
2900..2982    ; Pattern_Syntax
2983          ; Pattern_Syntax
2984          ; Pattern_Syntax
2985          ; Pattern_Syntax
2986          ; Pattern_Syntax
2987          ; Pattern_Syntax
2988          ; Pattern_Syntax
2989          ; Pattern_Syntax
298A          ; Pattern_Syntax
298B          ; Pattern_Syntax
298C          ; Pattern_Syntax
298D          ; Pattern_Syntax
298E          ; Pattern_Syntax
298F          ; Pattern_Syntax
2990          ; Pattern_Syntax
2991          ; Pattern_Syntax
2992          ; Pattern_Syntax
2993          ; Pattern_Syntax
2994          ; Pattern_Syntax
2995          ; Pattern_Syntax
2996          ; Pattern_Syntax
2997          ; Pattern_Syntax
2998          ; Pattern_Syntax
2999..29D7    ; Pattern_Syntax
29D8          ; Pattern_Syntax
29D9          ; Pattern_Syntax
29DA          ; Pattern_Syntax
29DB          ; Pattern_Syntax
29DC..29FB    ; Pattern_Syntax
29FC          ; Pattern_Syntax
29FD          ; Pattern_Syntax
29FE..2AFF    ; Pattern_Syntax
2B00..2B1A    ; Pattern_Syntax
2B1B..2B1F    ; Pattern_Syntax
2B20..2B23    ; Pattern_Syntax
2B24..2BFF    ; Pattern_Syntax
2E00..2E01    ; Pattern_Syntax
2E02          ; Pattern_Syntax
2E03          ; Pattern_Syntax
2E04          ; Pattern_Syntax
2E05          ; Pattern_Syntax
2E06..2E08    ; Pattern_Syntax
2E09          ; Pattern_Syntax
2E0A          ; Pattern_Syntax
2E0B          ; Pattern_Syntax
2E0C          ; Pattern_Syntax
2E0D          ; Pattern_Syntax
2E0E..2E16    ; Pattern_Syntax
2E17          ; Pattern_Syntax
2E18..2E1B    ; Pattern_Syntax
2E1C          ; Pattern_Syntax
2E1D          ; Pattern_Syntax
2E1E..2E7F    ; Pattern_Syntax
3001..3003    ; Pattern_Syntax
3008          ; Pattern_Syntax
3009          ; Pattern_Syntax
300A          ; Pattern_Syntax
300B          ; Pattern_Syntax
300C          ; Pattern_Syntax
300D          ; Pattern_Syntax
300E          ; Pattern_Syntax
300F          ; Pattern_Syntax
3010          ; Pattern_Syntax
3011          ; Pattern_Syntax
3012..3013    ; Pattern_Syntax
3014          ; Pattern_Syntax
3015          ; Pattern_Syntax
3016          ; Pattern_Syntax
3017          ; Pattern_Syntax
3018          ; Pattern_Syntax
3019          ; Pattern_Syntax
301A          ; Pattern_Syntax
301B          ; Pattern_Syntax
301C          ; Pattern_Syntax
301D          ; Pattern_Syntax
301E..301F    ; Pattern_Syntax
3020          ; Pattern_Syntax
3030          ; Pattern_Syntax
FD3E          ; Pattern_Syntax
FD3F          ; Pattern_Syntax
FE45..FE46    ; Pattern_Syntax

# Total code points: 2760

# EOF
